orth,pron_no_tones
រលាក,rɔliek
ចម្រូង,cɑmrooŋ
ស្ទឹង,stɨŋ
ក្រឡឹង,krɑləŋ
ហ័ន,han
ទ្វីប,tviip
ឡេះឡះ,leh-lah
បាពួន,baapuən
វង្សា,vʊəŋsaa
អយុធ្យា,ʔaʔyutyie
ស្រាល់,sral
ពិភាល់,piʔpʰoal
មូត្រ,moot
យារ,yie
ភ្នំទឹក,pnum tɨk
កកាត,kɑkaat
ពួង,puəŋ
ចិញ្ចាច,cəɲcaac
ត្រៃបិតក,traybəydɑk
អាថ៌កំបាំង,ʔaat kɑmbaŋ
ត្រ,trɑɑ
អាសាឍ,ʔaasaat
ដៅ,dav
វចី,veaʔcəy
ថ្វាង,tvaaŋ
១,1
ផស,pʰɑɑh
ហៈ,haʔ
អ្វី,ʔvǝy
ស្រូត,sroot
ងងើល,ŋɔŋəəl
បំផុស,bɑmpʰoh
ស្រឡប់,srɑlɑp
នគរវត្ត,nɔkɔɔvoat
ព្រហស្បតិ៍,prɔhoah
តាបស,taabɑh
អាគ្នេយ៍,ʔaaknee
បង្ខាំង,bɑŋkʰaŋ
និន្ទ្រា,nintrie
កំហឹង,kɑmhəŋ
សែ,sae
ឯក,ʔaek
កតវេទិតា,kaʔtaʔveetiʔtaa
ដំបៅ,dɑmbav
កំលោះ,kɑmlɑh
ង៉ែត,ŋaet
ថ្វី,tvəy
រសើប,rɔsaəp
រាជ,riec
ឆ្នាំង,cnaŋ
ក្រំ,krɑm
សត្ត,sattaʔ
ឆោង,cʰaoŋ
សង្គតិ,sɑŋkeaʔteʔ
រណ្ដាប់,rʊəndap
ក្រៀមក្រោះ,kriəm krɑh
ឪឡឹក,ʔǝv lǝk
បណ្ដុំ,bɑndom
ស៊ប់,sup
បណ្ដើរ,bɑndaə
ត្រាតែ,traa tae
ប្រជាពលរដ្ឋ,prɑciepʊəlrʊət
អនុត្តរភាព,ʔaʔnuttaʔraʔpʰiep
ស្រពន់,srɑpʊən
ខ្វែក,kvaek
បក្ស,pak
សុន្ទរ,sonteaʔreaʔ
លាវ,liev
វឹប,vɨp
ឯកអគ្គរាជទូត,ʔaekaʔakkeaʔrieceaʔtuut
ទាក់ទង,teak tɔɔŋ
ទូន្មាន,tuunmien
កាតូលិក,kaatoolik
សគុណ,saʔkun
ទម្លាយ,tumliey
វិជ្ជាឋាន,vɨccietʰaan
ច្រោះ,crɑh
ចំរូង,cɑmrooŋ
ផ្លើស,plaəh
ចំណុះ,cɑmnoh
ផលិតភាព,pʰɑllɨttaʔpʰiep
ចង្កើះ,cɑŋkəh
ប៉ាត,paat
លក្ខណ,leakkʰaʔnaʔ
សួស្តី,suǝsdǝy
ជីវសាស្ត្រ,ciiveaʔsaah
សាវក,saavak
ដេរ,deɛ
អញ្ញាត,ʔaɲɲaataʔ
ប្លុង,ploŋ
ស្ដេច,sdac
ឆែកមើល,cʰaek məəl
ដង្កោ,dɑŋkao
ពិព័ណ៌,piʔpoa
គណៈមេប្រយោគ,keaʔnaʔmeeprɑyook
ជេដ្ឋា,ceettʰaa
សសេះ,sɑseh
របាំង,rɔbaŋ
អាភរណៈ,ʔaapʰeaʔreaʔnaʔ
លីន,lɨn
វេត្រាណូ,veetraanoo
ប៉ប្រះ,pɑprah
ថា,tʰaa
រលើប,rɔləəp
ប្រារព្ធ,praarup
កំអួត,kɑmʔuət
ខ្មាញ់,kmaɲ
សម្រិត,sɑmrət
គំលាន,kumlien
ឈូ,cʰuu
ទធាក់,tɔtʰeak
ប្រឡាក់,prɑlak
ខ្មួល,kmuəl
ប្រកប,prɑkɑɑp
ទាសកម្មករ,tiehsaʔkammaʔkɑɑ
ច្រហោង,crɑhaoŋ
គភ៌,koa
សរសើរ,sɑɑ saə
ទ្រាប,triep
ងងឹតងងល់,ŋɔŋɨt-ŋɔŋʊəl
ផ្សេង,pseɛŋ
កំរិត,kɑmrət
នារាយណ៍,nieriey
កំបង់,kɑmbɑŋ
ទេវបុត្ត,teeveaʔbot
បរិសា,bɑɑreʔsaa
គគ្រឹក,kɔkrɨk
កាប់,kap
សុមាលី,soʔmaalii
វេចា,veecaa
ព្យាធិ,pyietʰiʔ
រំជា,rumcie
ខ្ចក,kcɑɑk
ស្មេ,smeɛ
ជីពចរ,ciipcɑɑ
ជេន,ceen
ច្បាស់,cbah
ឥស,ʔeh
ព្រឹទ្ធាចារ្យ,prɨttʰiecaa
យ៉ង,yɑɑŋ
កិរិយាសព្ទ,keʔriʔyaasap
ក្អិត,kʔət
យើង,yəəŋ
អង្គប់,ʔɑŋkup
ថប់,tʰɑp
ខោ,kʰao
ឃ្លៀង,kliəŋ
ញេញ,ɲɨɲ
ផ្ដល់,pdɑl
ដាស់,dah
បំភ្លៃ,bɑmpley
ស្រាវជ្រាវ,sraav-criev
ជ្រនីក,crɔniik
រសី,reaʔsəy
សីហៈ,sǝyhaʔ
នេប,neep
ព្រុស,pruh
បាធ្យាយ,baatyiey
គ្រលុក,krɔluk
ពាហា,piehaa
វរ្ម័ន,veaʔraʔman
ដុស,doh
បង្គុយ,bɑŋkuy
អៃរ៉ា,ʔay raa
ដា,daa
រប៉ាយ,rɔpaay
សាមញ្ញ,saamaɲɲeaʔ
បរិវិតក្ក,paʔreʔviʔtaʔkaʔ
គោតម,koodɑm
ចំរេះ,cɑmreh
បំប៉ោង,bɑmpaoŋ
ច្រាប,craap
សំដី,sɑmdəy
ធម្មក្ខន្ធ,tʰoammeakkʰan
ទុតិយ,tuʔteʔyaʔ
ប្រមាត់,prɑmat
គូលី,kuulii
ប្លែង,plaeŋ
អំពើ,ʔɑmpǝǝ
ស្នា,snaa
ទទួល,tɔtuəl
ស្កាំ,skam
ល្គឹក (ណា) តែ,lkɨk (naa) tae
ហ្ន,naa
បាបកម្ម,baapaʔkam
បង្គរ,bɑŋkɔɔ
ហឺត,hǝǝt
បុញ្ញានុភាព,boɲɲaanuʔpʰiep
រយាក,rɔyiek
លាត់,loat
សុរ,soʔraʔ
សង្ហារ,sɑŋhaa
បញ្ចុះ,bɑɲcoh
អន្តរប្បញ្ញតិ,ʔɑntaʔrappaɲɲat
បុត្រា,boʔtraa
ដំបង,dɑmbɑɑŋ
ចាញ់,caɲ
អ្ហែង,ʔhaeŋ
មនុ,meaʔnuʔ
សៀម,siǝm
ជ្រីវ,criiv
ជឿ,cɨə
ខ្សុក,ksok
ប្រគង,prɑkɔɔŋ
និច្ច,nɨc
ទី,tii
អធិប,ʔaʔtʰip
ស៊ុប,sup
បទបញ្ញត្តិ,bɑt baɲɲat
កុង,FɨX
ផ្ដាច់,pdac
អនាថា,ʔaʔnaatʰaa
នែប,nɛɛp
ឃ្លេ,klee
រស្ស,roahsaʔ
បង្អុរ,bɑŋʔol
ចាហួយ,caa huəy
ជំហាន,cumhien
ស៊ីសង,sii sɑɑŋ
ភឿន,pʰɨən
ជ្រៀង,criəŋ
របាទ,rɔbaat
កន្តឹប,kɑntəp
សុភនិច្ឆ័យ,soʔpʰeaʔnɨccʰay
រមទម,rumtum
សំពះ,sɑmpeah
ចឹប,cəp
ព្យាម,pyiem
អៃ,ʔay
ពពេល,pɔpeel
ចំណាប់,cɑmnap
ក្រពេញ,krɑpɨɲ
ព្រា,prie
ក្រាប,kraap
ជ្រះ,creah
ស្ញោរ,sɲao
ការងារ,kaaŋie
ចំអន់,cɑmʔɑn
ប៉ិក,pək
ត្រដាង,trɑdaaŋ
ចីរកាល,ceɛkaal
សង្គ្រាជ,sɑŋkriec
រនះ,rɔneah
ប្រផ្នូល,prɑpnool
យោនី,yoonii
ផ្សៃ,psay
បំណន់,bɑmnɑn
ជើងកប,cəəŋ kɑɑp
ភត្តានុមោទនា,pʰoattaanuʔmooteaʔnie
វន,veaʔneaʔ
ពាណិជ្ជកម្ម,pienɨcceaʔkam
ខ្វិល,kvəl
ចង្វា,cɑŋvaa
ឈប់,cʰup
ត្រលុច,trɑloc
សម្បត្តិ,sɑmbat
សូទ្រ,sootreaʔ
ស្នួ,snuǝ
ដាល់,dal
បញ្ញត្ត,baɲɲat
ត្រាច,traac
ពុទ្ធកាល,puttʰeaʔkaal
ថ្លៃថ្នូរ,tlay tnoo
ពងទឹក,pɔɔŋ tɨk
ស្លា,slaa
និវត្តជន,niʔvoattaʔcʊən
សង្គមនិយម,sɑŋkeaʔmeaʔniʔyum
ស្រអាប់,srɑʔap
ប្រយូរ,prɑyuu
យាម,yiem
ទំនួញ,tumnuəɲ
ប៉ាកកា,paak kaa
ប្រល័យ,prɑlay
លំហាច,lumhaac
ជ្រក់ជ្រេញ,crʊək-crɨɲ
សាមណេរ,saamaʔneɛ
ចង់,cɑŋ
ផរុស,pʰaʔruʔsaʔ
ល្ងង់,lŋɔǝŋ
ផ្អាវ,pʔaav
ដំណាច់,dɑmnac
វិច,vɨc
ខាន់ខៅ,kʰan kʰav
ស្រាស់,srah
ប្រិយភាព,prəyyeaʔpʰiep
ម៉ាឡាយូ,maalaayyuu
ជំរុះ,cumruh
ជរាភាព,ceaʔriepʰiep
គគុក,kɔkuk
មនុស្សធម៌,meaʔnuhsaʔtʰoa
សៀន,siǝn
ស៊កសៀត,sɔɔk siət
ក្ដៀន,kdiən
ចាស់,cah
ប្រាំង,praŋ
ឆា,cʰaa
អារ្យ,ʔaaryaʔ
ប្រជាភិថុតិ,prɑciepʰiʔtʰot
ប្រទាំង,prɑteaŋ
អារម្ភ,ʔaarampʰeaʔ
ប្រាស,praah
ទេពកោសល្យ,teepkaosɑl
ឆ្អើរ,cʔaə
ស្រណោះ,srɑnɑh
ប៉ក់,pɑk
បទដ្ឋាន,paʔtoattʰaan
បច្ចេកទេស,pacceɛkaʔteeh
លៃលក,ley lɔɔk
កញ្ចែ,kaɲcae
បិដក,beʔdɑk
ឯកឧត្តម,ʔaekʔotdɑm
គ្រឹប,krɨp
សី,səy
ផ្អើល,pʔaəl
ស្ពាន់,spoan
ឆ្កៀល,ckiəl
ចន្ទ,can
ទៀប,tiəp
អុត,ʔot
កតញ្ញូ,kaʔtaɲɲuu
ផ្នត់,pnɑt
ចំទួយ,cɑmtuəy
ប្រឡាំងកាស,prɑlaŋ kaah
ថាន,tʰaan
សម្រង់,sɑmrɑŋ
បរមសុខ,bɑɑrommaʔsok
សា,saa
ប្រៀន,priən
ខ្វៀន,kviən
លំពង់,lumpɔǝŋ
ផ្នួស,pnuəh
ពភ្លា,pɔplie
សូចនា,soocaʔnaa
មាត្រា,mietraa
ខ្លោង,klaoŋ
រាស់,roah
ត្រដែត,trɑdaet
នារ,nie
ភ្លៅកង្កែប,plɨv kɑŋkaep
ពន្លាក,pʊənliek
គ្រប,krɔɔp
បម្រាស,bɑmraah
សាវត្ថី,saavoattʰəy
ស្លុង,sloŋ
មួល,muəl
តោ,tao
ហ្មាយ,maay
ស្រោក,sraok
សន្លឹម,sɑnləm
ម្លប់,mlup
រដ្ឋសង្គមនិយម,roattʰaʔsɑŋkumniʔyum
វប្ប,voappaʔ
ស្រមៀន,srɑmiən
ពព្រិច,pɔprɨc
អង្កាញ់,ʔɑŋkaɲ
ខ្មាំង,kmaŋ
បែក,baek
ខ្នាច,knaac
ម្រឹគ,mrɨk
សណ្ដាប់ធ្នាប់,sɑndap tnoap
ឫទ្ធិ,rɨt
លាក,liek
កន្ទេល,kɑnteel
រងាវ,rɔŋiev
ផ្អរ,pʔɑɑ
មុន,mun
ហាសិប,haasǝp
ទំព័រ,tumpoa
រេហ៍ពល,reepʊəl
កន្តើយ,kɑntaəy
បុព្វោ,boppoo
គុណសម្បត្តិ,kunaʔsɑmbat
ទ្រៀល,triəl
គ្រាវ,kriev
ប្រជាមានិត,prɑciemienit
ក្របួច,krɑbuəc
យុត្ត,yut
ច្រឡៃ,crɑlay
ប៉យ,pɑɑy
ផ្គាំ,pkoam
ដាច់,dac
អហោសិកម្ម,ʔaʔhaoseʔkam
អណ្ដាត,ʔɑndaat
អារ,ʔaa
ព្យាធិ៍,pyiet
សន្មត,sɑnnǝmɑt
ជាតី,cietəy
ការពារ,kaapie
ស្នូល,snool
សង្វាត,sɑŋvaat
ប្រហារ,prɑhaa
នប,nɔɔp
ពីងពង់,piiŋ-pʊəŋ
លាយ,liey
ចុយ,coy
ប្រុយ,proy
ទីឃ,tiikʰeaʔ
មុជ,muc
សារថី,saaraʔtʰǝy
ត្អូញ,tʔooɲ
អធម,ʔaʔtʰum
រះ,reah
លិខិតឆ្លងដែន,liʔkʰət clɑɑŋ daen
បង្ហុយ,bɑŋhoy
សៀវ,siǝv
ព្រហូត,prɔhuut
ជាត់,coat
សប់,sɑp
បេសកកម្ម,peɛsaʔkaʔkam
វឹក,vɨk
សន្ធំ,sɑntʰoam
គេហដ្ឋាន,keehaʔtʰaan
បី,bəy
ប្រសិទ្ធី,prɑsettʰii
ភោក្តា,pʰookdaa
ទូរទស្សន៍,tuureaʔtʊəh
វារៈ,viereaʔ
ច្យុត,caʔyot
វាស,vieh
ភាគិនេយ្យ,pʰiekiʔney
អមិត្តភាព,ʔaʔmɨttaʔpʰiep
បង្អូន,bɑŋʔoon
ព្រលិត,prɔlɨt
ដាម,daam
កម្មន្តសាល,kammantaʔsaal
កុហក,koʔhak
អង្គា,ʔɑŋkie
កកូរ,kɑkoo
កន្លេង,kɑnleɛŋ
អនុមតិ,ʔaʔnuʔmat
អត្តទត្ថ,ʔattaʔtoattʰaʔ
សៅរ៍,sav
ច្របូក,crɑbook
ច្រវាក់,crɑvak
មហាសាគរ,meaʔhaasaakɔɔ
ប្រហុក,prɑhok
ពុធ,put
រក្សា,reaksaa
បួនដប់,buən dɑp
មេថុន,meetʰon
បបួល,bɑbuəl
ម៉ែត្រ,maet
ជេរ,cee
សុមេរុ,soʔmeeruʔ
ហីន,hǝyneaʔ
ព្រះអាទិត្យ,preah ʔaatɨt
ផែនដី,pʰaen dəy
បង្អស់,bɑŋʔɑh
មៀន,miən
ហិន,hǝn
ជំនីរ,cumnii
តាសក់,tasɑk
ដាស,daah
រង្វង់,rʊəŋvʊəŋ
បន្តុប,bɑntop
វៀតណាម,viət nạam
ជម្រេញ,cumrɨɲ
តន់,tɑn
ឆ្នូត,cnoot
វិវឌ្ឍ,viʔvoat
អូត,ʔoot
ដង្គោល,dɑŋkool
ភ័ន្ត,pʰoan
កំពាង,kɑmpieŋ
សុធី,soʔtʰii
វឺ,vɨɨ
ភ្ជុំ,pcum
ស្វរៈ,svaʔraʔ
ព័ស្តុតាង,poahtaaŋ
សំណេះ,sɑmneh
ប៉ាន,paan
វឌ្ឍន,voattʰeaʔneaʔ
ដុះ,doh
ខាក,kʰaak
ស្វាយចន្ទី,svaay cantii
ពាយព្យ,pieyoap
ខ្នាន,knaan
ក្រសែ,krɑsae
បាងកក,baaŋ kɑɑk
ញោច,ɲooc
ទ្រុង,truŋ
ទ្រោប,troop
ការទូត,kaatuut
ប្រឡាយ,prɑlaay
មហាអំណាច,mɔhaaʔamnaac
ឆ្វាយ,cvaay
ព្រម,prɔɔm
បន្ទុំ,bɑntum
មណ្ឌល,mʊəndʊəl
រួន,ruən
បស្ចិម,bahscəm
ក្រចេះ,krɑceh
ក្រៅ,krav
ងងុយ,ŋɔŋuy
ទេវរាជ,teeveaʔriec
កញ្ឆោត,kɑɲcʰaot
បង្ហើប,bɑŋhaəp
រដូក,rɔdook
រំដួល,rumduəl
បរម្បរា,paʔrampaʔraa
ប្រាប់,prap
ឃ្លង់,klʊəŋ
ទុង,tuŋ
តក់ក្រហល់,tɑk krɑhɑl
ក្រោយ,kraoy
រហាត់,rɔhat
ស្រដៀង,srɑdiǝŋ
ធ្នាប់,tnoap
ស្ដឹង,sdǝŋ
សង់ខ្យា,sɑŋ kyaa
វិបស្សនា,viʔpahsaʔnaa
ធម្មការ,tʰoammeaʔkaa
ភ្លើង,pləəŋ
ឈ្លី,clii
ដួន,duən
អណ្ដឺតអណ្ដក,ʔɑndǝǝt-ʔɑndɑɑk
វនស្បតិ,veaʔnoahspaʔteʔ
ពូត,puut
ឆុត,cʰot
ជោតក,cootaʔkaʔ
ឥរិយាបថ,ʔeʔreʔyaabɑt
ចង្អូរ,cɑŋʔoo
វជិរ,veaʔciʔreaʔ
ប្រណិធាន,prɑneʔtʰien
បញ្ចើច,bɑɲcaəc
ចុក,cok
ប្រូច,prooc
ភិយ្យោ,pʰiiyoo
ឈាម,cʰiem
ខ្ញែក,kɲaek
មឹក,mɨk
គះ,keah
ជីង,cɨŋ
ផេះ,pʰeh
កន្ទ្រើង,kɑntrəəŋ
រឹតត្បិត,rɨt tbət
ស្វ័យភាព,svaypʰiep
ធនាគារ,tʰeaʔniekie
លាង,lieŋ
មត់,mʊət
ពន្លះ,pʊənleah
រែង,rɛɛŋ
ថូ,tʰoo
ផេង,pʰəɛŋ
អល់អែក,ʔal-ʔaek
សិន្ធុ,sentʰuʔ
មីនា,miinaa
ដំឡើង,dɑmlaəŋ
ពួន,puən
ត្រកួញ,trɑkuəɲ
កណ្ដប,kɑndɑɑp
ប្រណាំង,prɑnaŋ
វេទ,veeteaʔ
បញ្ញវន្ត,paɲɲaʔvoan
បំព្រាង,bɑmprieŋ
មាលា,mielie
កាណូត,kaanoot
កង្កែប,kɑŋkaǝp
កន្សៃ,kɑnsay
ត្មះ,tmah
ឡូ,loo
ប្ដឹង,pdəŋ
ស្កះ,skah
រម៉ង់,rɔmɑŋ
របួស,rɔbuəh
ខុប,kʰop
បំពួន,bɑmpuən
ហូល,hool
ទេព,teep
ជៀវ,ciəv
រាល់,roal
អង្កួញ,ʔɑŋkuǝɲ
ខៀវ,kʰiəv
សច្ចំ,saccaŋ
ជប,cup
ញើញ,ɲəəɲ
វ៉ែត,vaet
អនុស្សរណៈ,ʔaʔnuhsaʔraʔnaʔ
អាម,ʔaam
ស្យាម,syaam
ស្រលេត,srɑleɛt
សម្បូរ,sɑmboo
ស្បថ,sbɑt
សម្លុក,sɑmlok
ចង្រិត,cɑŋrət
បរា,paʔraa
បេះបួយ,beh buəy
និយាម,niʔyiem
ល្បិច,lbəc
សម្រុក,sɑmrok
មេបា,mee baa
សាលក្រម,saal krɑm
គង់,kʊəŋ
កំពីងពួយ,kɑmpiiŋ puəy
ធ្លាក់,tleak
វត្ថិ,voattʰeʔ
រារែក,rie-raek
រលត់,rɔlʊət
អ៊ូញ,ʔuuɲ
ចង្អើរ,cɑŋʔaə
ស្ទើរ,stǝǝ
បង្អក,bɑŋʔɑɑk
កញ្ជើ,kɑɲcəə
រាប់អាន,roap ʔaan
បង្អាច,bɑŋʔaac
បង្កាត់,bɑŋkat
ហើរ,haǝ
គំនាល់,kumnoal
ឋាន,tʰaan
សណ្ដា,sɑndaa
បន្លឹម,bɑnləm
ចំណាំង,cɑmnaŋ
ក្សេម,kseɛm
ឃ្លា,klie
ភារត,pʰiereaʔtaʔ
ទ្រាន់,troan
មេខ្យល់,mee kyɑl
បរិពារ,bɑɑreʔpie
ត្រេច,trəc
សម្ពោធិ,sampootʰiʔ
បូពិត,boopit
ពិសោធន៍,piʔsaot
អន្តរាយ,ʔɑntaʔraay
ស្មូន,smoon
ដោល,daol
កាម,kaam
ត្រៀបត្រា,triəp-traa
កោះ,kɑh
ឃ្លៀច,kliəc
រំលស់,rumlʊəh
ទម្រង់,tumrʊəŋ
ត្រសង,trɑsɑɑŋ
ចំបាំង,cɑmbaŋ
ទទេ,tɔtee
ព្រឺ,prɨɨ
ស្លង់,slaŋ
គិត,kit
ពិសុទ្ធ,piʔsot
បដិការ,paʔdeʔkaareaʔ
ភើ,pʰəə
ក្បោះ,kbɑh
ចរន្ត,caʔrɑn
លេខទោ,leek too
ប្រណី,prɑnəy
បង្ការ,bɑŋkaa
ព្រេង,preeŋ
រនាំង,rɔneaŋ
ឋិតថេរ,tʰət tʰeɛ
តម្ពក់,tɑmpʊək
ឯកទេស,ʔaekaʔteeh
គួរ,kuə
សំពាយ,sɑmpiey
បរទេស,bɑɑrəteeh
ភ្នង,pnɔɔŋ
វ៉,vɑɑ
ការដ្ឋាន,kaarattʰaan
ធ្ងន់,tŋʊən
អគ្គរដ្ឋទូត,ʔakkeaʔroattʰaʔtuut
ប្រហើរ,prɑhaə
តួ,tuə
អនុបាល,ʔaʔnuʔbaal
ស្រមូម,srɑmoom
បាត,baat
ប្រព័ន្ធ,prɑpoan
ខ្មុក,kmok
មូលដ្ឋាន,muulattʰaan
វាងវៃ,vieŋ-vey
ថាវ,tʰaav
ក្រសារ,krɑsaa
អសុរោះ,ʔaʔsoʔrɑh
បង្រួញ,bɑŋruəɲ
លះបង់,leah bɑŋ
ស័ក,sak
ធូលី,tʰuulii
និរទេស,nirteeh
វាល,viel
សំណង,sɑmnɑɑŋ
ស័ង្កសី,saŋkaʔsəy
ខ្លុះ,kloh
ប្រហោង,prɑhaoŋ
ត្រសាយ,trɑsaay
ប៉ុន្មាន,ponmaan
ខ្ជិល,kcɨl
ទ្វារបាល,tviereaʔbaal
ច្រងាប់ច្រងិល,crɑŋap-crɑŋel
វង,vɔɔŋ
របូត,rɔboot
ភ្លើតភ្លើន,pləət-pləən
ទណ្ឌ,toan
តេជានុភាព,teɛcienuʔpʰiep
អន្ទាក់,ʔɑnteak
រលឿ,rɔlɨə
អច្ចេក,ʔacceɛkaʔ
អារក្ខា,ʔaarakkʰaa
ឈ្ងប់,cŋup
ណែ៎,nae
លង្កា,laŋkaa
ផាមួង,pʰaa muəŋ
ក្រឹម,krəm
តណ្ហា,tɑnhaa
ហឫទ័យ,haʔrɨʔtey
បិតា,bəydaa
មាសស្ងួន,mieh sŋuən
ហ៊ុប,hup
ច្រោក,craok
សាច់ជូរ,sac cuu
០,0
ត្រស្តិ,trɑh
ឈើច្រត់,cʰəə crɑt
កក្កដា,kakkaʔdaa
ពសុធា,peaʔsoʔtʰie
ថ្លាង,tlaaŋ
សប្បុរិស,sappoʔreʔsaʔ
ប្រទេស,prɑteeh
កញ្ឆក់,kɑɲcʰɑk
កញ្ចាស់,kaɲcah
គំនាប់,kumnoap
ខ្ទាំ,ktoam
ស្អុយ,sʔoy
ខ្ញៀវ,kɲiəv
អត្តខាត់,ʔattaʔkʰat
លប,lɔɔp
នោម,noom
ស្នុំ,snom
ប៉ុក,pok
ក្និច,knəc
វត្តនី,voattaʔnii
តម្កាត់,tɑmkat
បុត្រ,bot
អន្លើ,ʔɑnləə
ក្រអូម,krɑʔoom
នាបី,niebəy
សំស្ក្រឹត,saŋskrǝt
សែន,saen
ខ្មោច,kmaoc
កង្ហារ,kɑŋhaa
ព្យាបាល,pyiebaal
ប្រពូន,prɑpuun
អង្អែល,ʔɑŋʔael
ល្ង,lŋɔɔ
រាគា,riekie
កាមតណ្ហា,kaameaʔtɑnhaa
កប៉ាល់,kaʔpal
ស្រម៉,srɑmɑɑ
ប៉ប្រិច,pɑprəc
ល្បាត,lbaat
ខ្ញុំ,kɲom
រគើម,rɔkəəm
ស្រងៅ,srɑŋav
អានុភាព,ʔaanuʔpʰiep
ថ្វែ,tvae
រលាយ,rɔliey
ចំឡែក,cɑmlaek
មើម,məəm
ស្រយាល,srɑyaal
ស្រាល,sraal
ឆ្កូត,ckoot
រឡាក់,rɔlak
ប៉ឹង,pəŋ
ពុទ្ធភាសិត,puttʰeaʔpʰieset
អំណាច,ʔɑmnaac
ស្វាង,svaaŋ
ខែង,kʰaeŋ
វេយ្យាករណ៍,veeyyiekɑɑ
ភោគទ្រព្យ,pʰookeaʔtroap
ទៀន,tiən
ប្រជែង,prɑcɛɛŋ
អវិជ្ជា,ʔaʔvɨccie
ពន្យល់,pʊənyʊəl
កាក,kaak
តុណ្ហីភាព,tonhəypʰiep
បដិសន្ធិ,paʔdeʔsɑntʰiʔ
ល្អូក,lʔook
ស្អុះ,sʔoh
ត្រួយ,truəy
សុភា,soʔpʰie
សមាមាត្រ,saʔmaamiet
គ្រហឹម,krɔhɨm
គង្ហីង,kʊəŋhiiŋ
រដ្ឋ,roat
កង្វេរ,kɑŋveɛ
វីរ,viireaʔ
រេចរឹល,rɨc-rɨl
ស្ដុក,sdok
លាប,liep
ប្រទង់,prɑtʊəŋ
ជ្រង់,crʊəŋ
ខាវ,kʰaav
ព្យគ្ឃ,pyeak
ម៉ឺង,məəy
ក្លស់,klɑh
ជើងឯក,cəəŋ ʔaek
សេវា,seɛvie
ព្រនង់,prɔnʊəŋ
ម្ទេស,mteeh
ពពក,pɔpɔɔk
ពន្ធភាព,poantʰeaʔpʰiep
សន្ទូច,sɑntuuc
លំ,lum
ក្រញុល,krɑɲol
ក្រីក្រ,krəy-krɑɑ
ងា,ŋie
សង្កិលេស,saŋkeʔlaeh
សកុណជាតិ,saʔkoʔnaʔciet
យួន,yuən
សល់,sɑl
កិង,kəŋ
វិជ្ជមាន,vɨcceaʔmien
ឱសថ,ʔaosot
រំលេច,rumlɨc
រំលោក,rumlook
ក្តន់,kdɑn
រំសេវ,rumseɛv
ទ្រនំ,trɔnum
កល,kɑl
មោក,mook
អនុសាស,ʔaʔnuʔsaah
ខ្វាវ,kvaav
សម្រាន្ត,sɑmraan
ប្រភព,prɑpʰup
សមោសរ,saʔmaosɑɑ
ជជុះ,cɔcuh
សន្តោស,sɑndaoh
យង់ឃ្នង,yʊəŋ knɔɔŋ
ស្កា,skaa
ព័ន្ធ,poan
បាចា,paacaa
ទុគ្គតិភព,tukkeaʔteʔpʰup
ចណ្ឌ,can
លំដោយ,lumdaoy
របត់,rɔbɑt
បច្ចុប្បន្ន,paccopbɑn
និគម,niʔkum
ដប់,dɑp
បាលី,baaləy
អគុណ,ʔaʔkun
អវីចី,ʔaʔviicǝy
គី,kii
រៀម,riəm
ពលិកម្ម,pʊəlliʔkam
ហិង្សា,hǝŋsaa
គ្រាំង,kreaŋ
ទេសឯក,teeh ʔaek
រលេ,rɔlee
ចន្លោះ,cɑnlɑh
ឈូស,cʰuuh
របោះ,rɔbɑh
ទ្រនល់,trɔnʊəl
ព្រះបាទ,preah baat
ត្រាវ,traav
យាចក,yiecɑk
ទំនាញ,tumnieɲ
ទោសានុទោស,toohsaanuʔtooh
ត្រអាល,trɑʔaal
ជើង,cəəŋ
អង់គ្លេស,ʔɑŋkleeh
អវិជ្ជមាន,ʔaʔvɨcceaʔmien
វិការ,viʔkaareaʔ
បន្ទាល់,bɑntoal
ខ្សែ,ksae
ស្គាល់,skoal
គ្រមាម,krɔmiem
ហំ,ham
៕,.
បដិសេធ,paʔdeʔsaet
ទម្លាប់,tumloap
ប្រូង,prooŋ
រ៉ាត់,rat
ត្រីមុខ,trəymuk
ត្រគាក,trɑkiek
ចង្ហាន់,cɑŋhan
ល្អ,lʔɑɑ
លួម,luǝm
បញ្ច្រក,bɑɲcrɑɑk
ចំណាស់,cɑmnah
ប៉ផ្ដិត,pɑpdəət
ក្រឡែត,krɑlaet
តារ,taa
ជិវ្ហា,civ(a)haa
បង្គោល,bɑŋkool
ទន្លេ,tʊənlee
ផ្ដិល,pdəl
ស្លក់,slak
ប្រពៃ,prɑpey
លទ្ធផល,lattʰeaʔpʰɑl
នាំង,neaŋ
អាកាសយាន,ʔaakaasaʔyien
ប៉ន់,pɑn
ប្រិតប្រៀង,prət priəŋ
ល្បាញ,lbaaɲ
ស្មោកគ្រោក,smaok-krook
ទើសទាល់,təəh toal
វាសនា,viehsnaa
វ័ធ,voat
ជំរាល,cumriel
ស្វាគមន៏,svaakum
អង្គប្រជុំ,ʔɑŋ prɑcum
ក្ដៅ,kdav
រសាត់,rɔsat
សមរ,saʔmaʔraʔ
យោគាវចរ,yookieveaʔcɑɑ
សិនេរុ,seʔneeruʔ
ភ្លេង,pleeŋ
គគាត,kɔkiet
យក,yɔɔk
ខ្វាន់,kvan
ជដិល,ceaʔdel
ប្រទាក់,prɑteak
សាលី,saaləy
