orth,pron_no_tones,pron_with_tones
ດີກາ,diːkaː,diːkaː
ພິບານ,pʰibaːn,pʰi˧baːn
ແກງ,kɛːŋ,kɛːŋ
ງົດງາມ,ŋotŋaːm,ŋot˧ŋaːm˧˥
ຄວາມ,kʰwaːm,kʰwaːm˧˥
ຕຳລຶງ,tamlɯŋ,tamlɯŋ˧˥
ພາຣະຕະ,pʰaːrata,pʰaː˧˥ra˧ta˧˥
ຄວາມກົດ,kʰwaːmkot,kʰwaːm˧˥kot˧˥
ຈັກ,t͡ɕak,t͡ɕak˧˥
ທີຣະ,tʰiːra,tʰiː˧˥ra˧
ອົກໄກ່,okkaj,ok˧˥kaj˧
ສານປະກອບ,saːnpakɔːp,saːn˩˧pa˧˥kɔːp˧˩
ຄວາມທຸກ,kʰwaːmtʰuk,kʰwaːm˧˥tʰuk˧
ຫລົບ,lop,lop˧˥
ຢ່າງເດັດຂາດ,jaːŋdetkʰaːt,jaːŋ˧det˧˥kʰaːt˧˩
ປະທັງ,patʰaŋ,pa˧˥tʰaŋ˧˥
ອັນລົ້ນເຫລືອ,anlonlɯːə̯,anlon˥˨lɯːə̯˩˧
ບໍ່ເດືອດຮ້ອນ,bɔːdɯːə̯thɔːn,bɔː˧dɯːə̯t˧˩hɔːn˥˨
ອຸບາດ,ubaːt,u˧˥baːt˧˩
ກຳສວນ,kamsuaːn,kamsuaːn˩˧
ຊ່ອງ,sɔːŋ,sɔːŋ˧
ປ້າງ,paːŋ,paːŋ˥˨
ຕັກເຕືອນ,taktɯːə̯n,tak˧˥tɯːə̯n
ອະນຸສອນ,anusɔːn,a˧˥nu˧sɔːn˩˧
ກະຕຽມ,katiaːm,ka˧˥tiaːm
ເວີ້,wəː,wəː˥˨
ວິສາຂະ,wisaːkʰa,wi˧saː˩˧kʰa˧˥
ລ່າມ,laːm,laːm˧
ດຸສິດ,dusit,du˧˥sit˧˥
ການຕີລາຄາ,kaːntiːlaːkʰaː,kaːntiːlaː˧˥kʰaː˧˥
ກຸກ,kuk,kuk˧˥
ຣັຖບານ,rattʰabaːn,rat˧tʰa˧˥baːn
ກືນ,kɯːn,kɯːn
ໂພສີ,pʰoːsi,pʰoː˧˥si˩˧
ຍຸດ,ɲut,ɲut˧
ຍາຕ,ɲuaːtɲaːn,ɲuaːt˥˨ɲaːn˧˥
ສມິດ,samit,sa˧˥mit˧˥
ອາດຍາສິດ,aːtɲaːsit,aːt˧˩ɲaː˧˥sit˧˥
ຜູ້ນັບຖື,pʰuːnaptʰɯː,pʰuː˧˩nap˧tʰɯː˩˧
ສຳນຽງ,samniaːŋ,sam˩˧niaːŋ˧˥
ຄວນຫາ,kʰuaːnhaː,kʰuaːn˧˥haː˩˧
ກ້ຽວ,kiaːw,kiaːw˥˨
ຕາມ,taːm,taːm
ອືດ,ɯːt,ɯːt˧˩
ພັງຄີ,pʰaŋkʰiː,pʰaŋ˧˥kʰiː˧˥
ຍິ້ມ,ɲim,ɲim˥˨
ນ່ານ,naːn,naːn˧
ເຂົ້າໄປເຖິງ,kʰaopajtʰəŋ,kʰao˧˩pajtʰəŋ˩˧
ອາວອນ,aːwɔːn,aːwɔːn˧˥
ຝືດເຄືອງ,fɯːtkʰɯːə̯ŋ,fɯːt˧˩kʰɯːə̯ŋ˧˥
ສົມມະນາ,sommanaː,som˩˧ma˧naː˧˥
ກະຕືລືລົ້ນ,katɯːlɯːlon,ka˧˥tɯːlɯː˧˥lon˥˨
ຈ້ຳ,t͡ɕam,t͡ɕam˥˨
ນີ່,niː,niː˧
ເປັນຫມູ່,penmuː,penmuː˧
ທຸງ,tʰuŋ,tʰuŋ˧˥
ນົນ,non,non˧˥
ຄວາມຕັ້ງໃຈ,kʰwaːmtaŋt͡ɕaj,kʰwaːm˧˥taŋ˥˨t͡ɕaj
ຍູ,ɲuː,ɲuː˧˥
ໂລເລ,loːleː,loː˧˥leː˧˥
ວັດທະນະ,wattʰana,wat˧tʰa˧na
ຈວບ,t͡ɕuaːp,t͡ɕuaːp˧˩
ພຽງນີ້,pʰiaːŋniː,pʰiaːŋ˧˥niː˥˨
ຄຽນ,kʰiaːn,kʰiaːn˧˥
ຍິນ,ɲin,ɲin˧˥
ເສົາ,sao,sao˩˧
ບຸນ,bun,bun
ເປັນຫ້ອງ,penhɔːŋ,penhɔːŋ˧˩
ປຸ່ງ,puŋ,puŋ˧
ສິ້ນ,sin,sin˧˩
ກະຈັບ,kat͡ɕap,ka˧˥t͡ɕap˧˥
ແມ່ຂອງ,mɛːkʰɔːŋ,mɛː˧kʰɔːŋ˩˧
ລົນ,lon,lon˧˥
ຄາຣະວະ,kʰaːrawa,kʰaː˧˥ra˧wa˧
ທະເລ,tʰaleː,tʰa˧leː˧˥
ດາວ,daːo,daːo
ຕາມລຳດັບ,taːmlamdap,taːmlam˧˥dap˧˥
ຈິດຕະກອນ,t͡ɕittakɔːn,t͡ɕit˧˥ta˧˥kɔːn
ເນົ່າ,nao,nao˧
ສິວ,siw,siw˩˧
ເລັກ,lek,lek˧
ວິສ,wiaːŋ,wiaːŋ˧
ສະແຕມ,satɛːm,sa˧˥tɛːm
ລະບຽງ,labiaːŋ,la˧biaːŋ
ຫລ້ອນ,lɔːn,lɔːn˧˩
ພາຫະ,pʰaːha,pʰaː˧˥ha˧˥
ຍີ່ປຸ່ນ,ɲiːpun,ɲiː˧pun˧
ໂຢກ,joːk,joːk˧˩
ວັ່ງ,waŋ,waŋ˧
ໄດ້ກິ່ນ,dajkin,daj˥˨kin˧
ສານຄຳ,saːnkʰam,saːn˩˧kʰam˧˥
ກ້າມ,kaːm,kaːm˥˨
ລາດ,laːt,laːt˥˨
ເຈົ້າຂອງ,t͡ɕaokʰɔːŋ,t͡ɕao˥˨kʰɔːŋ˩˧
ຜັດ,pʰat,pʰat˧˥
ເນີ,nəː,nəː˧˥
ບິ,bi,bi
ໂຖງ,tʰoːŋ,tʰoːŋ˩˧
ຫາບ,haːp,haːp˧˩
ປຸງ,puŋ,puŋ
ກໍ,kɔː,kɔː
ໃນໃຈ,najt͡ɕaj,naj˧˥t͡ɕaj
ງ່ຽງ,ŋiaːŋ,ŋiaːŋ˧
ໄປແດ່,pajdɛː,pajdɛː˧
ເວ້,weː,weː˥˨
ຮ່ອມພູ,hɔːmpʰuː,hɔːm˧pʰuː˧˥
ບັນທຸກ,bantʰuk,bantʰuk˧
ແອ່ງ,ɛːŋ,ɛːŋ˧
ເປັນຫນອງ,pennɔːŋ,pennɔːŋ˩˧
ຫອດ,hɔːt,hɔːt˧˩
ພຸ້ນ,pʰun,pʰun˥˨
ງວມ,ŋuaːm,ŋuaːm˧˥
ໃຫ້ແມ່ນ,hajmɛːn,haj˧˩mɛːn˧
ເທົ່າ,tʰao,tʰao˧
ຈົງໃຈ,t͡ɕoŋt͡ɕaj,t͡ɕoŋt͡ɕaj
ຂາບ,kʰaːp,kʰaːp˧˩
ເຈິ,t͡ɕə,t͡ɕə˧˥
ຕາມໆກັນ,taːmtaːmkan,taːmtaːmkan
ຈັບເວລາ,t͡ɕapweːlaː,t͡ɕap˧˥weː˧˥laː˧˥
ກະບອງ,kaboːŋ,ka˧˥boːŋ
ກາ,kaː,kaː
ໃນຕາ,najtaː,naj˧˥taː
ຍົກ,ɲok,ɲok˧
ປາກຊ່ອງ,paːlsɔːŋ,paːl˧˩sɔːŋ˧
ເຫມັນ,men,men˩˧
ຮີ,hiː,hiː˧˥
ພະແສງ,pasɛːŋ,pa˧sɛːŋ˩˧
ບໍ່ສະເພາະ,bɔːsapʰɔ,bɔː˧sa˧˥pʰɔ˧
ໂອຫັງ,oːhaŋ,oːhaŋ˩˧
ນ້ຳຄານ,namkʰaːn,nam˥˨kʰaːn˧˥
ອຸປ,uaːp,uaːp˧˩
ປົ່ນ,pon,pon˧
ໂຂງ,kʰoːŋ,kʰoːŋ˩˧
ຊ່າວ,saːo,saːo˧
ສາມະ,saːma,saː˩˧ma˧
ຫອນໄກ່,hɔːnkaj,hɔːn˩˧kaj˧
ມົກກະຣາ,mokkaraː,mok˧ka˧˥raː˧˥
ຮູບຊີ,huːpsiː,huːp˥˨siː˧˥
ຊິນ,sin,sin˧˥
ດອກໄຟ,dɔːkfaj,dɔːk˧˩faj˧˥
ກຳເນີດ,kamnəːt,kamnəːt˥˨
ຂອງຫວານ,kʰɔːŋwaːn,kʰɔːŋ˩˧waːn˩˧
ໄພທູນ,pʰajtʰuːn,pʰaj˧˥tʰuːn˧˥
ຈູດ,t͡ɕuːt,t͡ɕuːt˧˩
ໄຫວ,waj,waj˩˧
ຫລູບ,luːp,luːp˧˩
ໂດຽທົ່ວໄປ,doːjtʰuaːpaj,doːjtʰuaː˧paj
ຄື່ນ,kʰɯːn,kʰɯːn˧
ຄາຖາ,kʰaːtʰaː,kʰaː˧˥tʰaː˩˧
ຂາກ,kʰaːk,kʰaːk˧˩
ຫົນ,hon,hon˩˧
ປະມຸກ,pamuk,pa˧˥muk˧
ການບ້ານ,kaːnbaːn,kaːnbaːn˥˨
ເອຶ້ອ,ɯːə̯,ɯːə̯˥˨
ໂຈຣະ,t͡ɕoːtʰanaː,t͡ɕoːtʰa˧naː˧˥
ສໄລ,salaj,sa˧˥laj˩˧
ອຸປະ,upa,u˧˥pa˧˥
ດັບນັ້ນ,dapnan,dap˧˥nan˥˨
ໂກ,koː,koː
ຄຳພິພາກສາ,kʰampʰipʰaːksaː,kʰam˧˥pʰi˧pʰaːk˥˨saː˩˧
ເສີດ,səːt,səːt˧˩
ຄວາມເສັຽ,kʰwaːmsiaː,kʰwaːm˧˥siaː˩˧
ຜູ້ດຽວ,pʰuːdiaːw,pʰuː˧˩diaːw
ອັນຖືກຕ້ອງ,antʰɯːktɔːŋ,antʰɯːk˧˩tɔːŋ˥˨
ກິ້ງ,kiŋ,kiŋ˥˨
ຂືນ,kʰɯːn,kʰɯːn˩˧
ສ້ອນ,sɔːn,sɔːn˧˩
ບ໊ະ,ba,ba˧˥
ຄັນທະ,kʰantʰa,kʰan˧˥tʰa˧
ທຸເລົາ,tʰulao,tʰu˧lao˧˥
ບວນ,buaːn,buaːn
ມີຂຶ້ນ,miːkʰɯn,miː˧˥kʰɯn˧˩
ເລັງ,leŋ,leŋ˧˥
ວິນຍານ,winɲaːn,win˧˥ɲaːn˧˥
ອຳພັນ,ampʰan,ampʰan˧˥
ຄາດ,kʰaːt,kʰaːt˥˨
ຣະດູ,raduː,ra˧duː
ໂຮ,hoː,hoː˧˥
ຄະນິງ,kʰaniŋ,kʰa˧niŋ˧˥
ຄຳວິຈານ,kʰamwit͡ɕaːn,kʰam˧˥wi˧t͡ɕaːn
ລະແວງ,lawɛːŋ,la˧wɛːŋ˧˥
ວັບ,wap,wap˧
ທຶນ,tʰɯn,tʰɯn˧˥
ແຄບ,kʰɛːp,kʰɛːp˥˨
ແຕ່ເນື່ອງຈາກ,tɛːnɯːə̯ŋt͡ɕaːk,tɛː˧nɯːə̯ŋ˧t͡ɕaːk˧˩
ເລັຽ,liaː,liaː˧˥
ດື່ນ,dɯːn,dɯːn˧
ທິວ,tʰiw,tʰiw˧˥
ເຂືອ,kʰɯːə̯,kʰɯːə̯˩˧
ກົງກັບ,koŋkap,koŋkap˧˥
ຄຳປາໃສ,kʰampaːsaj,kʰam˧˥paːsaj˩˧
ສະມັກ,samak,sa˧˥mak˧
ຈັ່ງ,t͡ɕaŋ,t͡ɕaŋ˧
ວະສັນ,wasan,wa˧san˩˧
ທ່ຽງ,tʰiaːŋ,tʰiaːŋ˧
ສຸງສິງ,suŋsiŋ,suŋ˩˧siŋ˩˧
ປ່ຽງ,piaːŋ,piaːŋ˧
ພະເຈົ້າ,pʰat͡ɕao,pʰa˧t͡ɕao˥˨
ແມງ,mɛːŋ,mɛːŋ˧˥
ກັບບ່ອນ,kapbɔːn,kap˧˥bɔːn˧
ຮຸ່ງ,huŋ,huŋ˧
ກະບົດ,kabaːtnap,ka˧˥baːt˧˩nap˧
ກັງວົນ,kaŋwon,kaŋwon˧˥
ປະທຸມ,patʰum,pa˧˥tʰum˧˥
ອ່ານ,aːn,aːn˧
ກາສີ,kaːsiː,kaːsiː˩˧
ອົບພະຍົບ,oppʰaɲop,op˧˥pʰa˧ɲop˧
ຢ່ອນຢ້ານ,jɔːnjaːn,jɔːn˧jaːn˥˨
ຄາດເຄື່ອນ,kʰaːtkʰɯːə̯n,kʰaːt˥˨kʰɯːə̯n˧
ໄງ່,ŋaj,ŋaj˧
ຈົນ,t͡ɕon,t͡ɕon
ຫລິ້ນ,lin,lin˧˩
໗,7,7
ໃນທັດສະນະ,najtʰatsana,naj˧˥tʰat˧sa˧˥na˧
ພິຊ,pʰuaːŋ,pʰuaːŋ˧
ວຽດນາມ,wiaːtnaːm,wiaːt˥˨naːm˧˥
ຍົງ,ɲoŋ,ɲoŋ˧˥
ເພິ່ນ,pʰən,pʰən˧
ເກ້,keː,keː˥˨
ຫລຸມ,lum,lum˩˧
ປັຈ,puaːŋpaj,puaːŋ˧paj
ໂຊນ,soːn,soːn˧˥
ຫຸມແພງ,humpʰɛːŋ,hum˩˧pʰɛːŋ˧˥
ດັ້ງ,daŋ,daŋ˥˨
ປີ້ນຄວາມ,piːnkʰwaːm,piːn˥˨kʰwaːm˧˥
ເອ້,eː,eː˥˨
ງ້ວງ,ŋuaːŋ,ŋuaːŋ˥˨
ໃຫ້ຄຳຫມັ້ນ,hajkʰamman,haj˧˩kʰam˧˥man˧˩
ນາງນາດ,naːŋnaːt,naːŋ˧˥naːt˥˨
ລ້າວ,laːo,laːo˥˨
ກະລີ,kaliː,ka˧˥liː˩˧
ຕັນໃຈ,tant͡ɕaj,tant͡ɕaj
ເປັນຕົວການ,pentuaːkaːn,pentuaːkaːn
ຕຳຣວດ,tamruaːt,tamruaːt˧˩
ທົບທວນ,tʰoptʰuaːn,tʰop˧tʰuaːn˧˥
ກຸນແຈ,kun,kun
ກາສາ,kaːsaː,kaːsaː˩˧
ໂຫລ,loː,loː˩˧
ລຳນ້ຳ,lamnam,lam˧˥nam˥˨
ສຸພັນ,supʰan,su˧˥pʰan˧˥
ເຈົ້າຫນ້າທີ່,t͡ɕaonaːtʰiː,t͡ɕao˥˨naː˧˩tʰiː˧
ຮັບຮູ້,haphuː,hap˧huː˥˨
ເຫງືອກ,ŋɯːə̯k,ŋɯːə̯k˧˩
ຕີ່,tiː,tiː˧
ເປາະ,pɔ,pɔ˧˥
ແຣກ,rɛːk,rɛːk˥˨
ອະວະກາດ,awakaːt,a˧˥wa˧kaːt˧˩
ມີບຸນ,miːbun,miː˧˥bun
ພິລຶກ,pʰilɯk,pʰi˧lɯk˧
ຊີມີ,siːmiː,siː˧˥miː˧˥
ປ່ຽນ,piaːn,piaːn˧
ປອກລອກ,pɔːklɔːk,pɔːk˧˩lɔːk˥˨
ໃນເວລາດຽວກັນ,najweːlaːdiaːwkan,naj˧˥weː˧˥laː˧˥diaːwkan
ສຸວັນ,suwan,su˧˥wan˧˥
ຮູດ,huːt,huːt˥˨
ເລີມ,ləːm,ləːm˧˥
ການຕ້ອນຮັບ,kaːntɔːnhap,kaːntɔːn˥˨hap˧
ຄີກ,kʰiːk,kʰiːk˥˨
ກະກຽມ,kakiaːm,ka˧˥kiaːm
ກີລາ,kiːlaː,kiːlaː˧˥
ສັນຖານ,santʰaːn,san˩˧tʰaːn˩˧
ຄຶ້ນ,kʰɯːn,kʰɯːn˥˨
ປາມ,paːm,paːm
ເຈດຕະນາ,t͡ɕeːttanaː,t͡ɕeːt˧˩ta˧˥naː˧˥
ປະດົງ,padoŋ,pa˧˥doŋ
ການສະແດງ,kaːnsadɛːŋ,kaːnsa˧˥dɛːŋ
ຄຳນຶງ,kʰamnɯŋ,kʰam˧˥nɯŋ˧˥
ວິຖີ,witʰiː,wi˧tʰiː˩˧
ດົນ,don,don
ເປັນກໍ,penkɔː,penkɔː
ໂອກາດ,oːkaːt,oːkaːt˧˩
ຖນັດ,tʰanat,tʰa˧˥nat˧˥
ລຳ,lam,lam˧˥
ອຸດົມ,udom,u˧˥dom
ພິມມະເສນ,pʰimmaseːn,pʰim˧˥ma˧seːn˩˧
ຢູ່ລຸ່ມ,juːlum,juː˧lum˧
ເຈົ້າພະຍາ,t͡ɕaopʰaɲaː,t͡ɕao˥˨pʰa˧ɲaː˧˥
ອອນ,ɔːn,ɔːn
ບໍ່,bɔː,bɔː˧
ປາກຄຳ,paːkkʰam,paːk˧˩kʰam˧˥
ນະຂະ,nakʰa,na˧kʰa˧˥
ປິຍະ,piɲa,pi˧˥ɲa˧
ຜູ້ຄົນ,pʰuːkʰon,pʰuː˧˩kʰon˧˥
ຊ້ຳ,sam,sam
ນາສາ,naːsaː,naː˧˥saː˩˧
ໄທ,tʰaj,tʰaj˧˥
ຣາຊິນີ,raːsiniː,raː˧˥si˧niː˧˥
ຂັງນ້ຳ,kʰaŋnam,kʰaŋ˩˧nam˥˨
ຢ່ອນ,jɔːn,jɔːn
ຕົກແຕ່ງ,toktɛːŋ,tok˧˥tɛːŋ˧
ຂຸ້ນຂ້ຽວ,kʰunkʰiaːw,kʰun˧˩kʰiaːw˧˩
ພຽງແຕ່,pʰiaːŋtɛː,pʰiaːŋ˧˥tɛː˧
ໄຫ,haj,haj˩˧
ກະທົບ,katʰop,ka˧˥tʰop˧
ອອກເລືອດ,ɔːklɯːə̯t,ɔːk˧˩lɯːə̯t˥˨
ເຫລືອ,lɯːə̯,lɯːə̯˩˧
ປະສານ,pasaːn,pa˧˥saːn˩˧
ໃນວາຣະ,najwaːra,naj˧˥waː˧˥ra˧
ອຸດອນ,udɔːn,u˧˥dɔːn
ຜາງ,pʰaːŋ,pʰaːŋ˩˧
ໃຫ້ໄວ,hajwaj,haj˧˩waj˧˥
ຄອກ,kʰɔːk,kʰɔːk˥˨
ກະບະ,kaba,ka˧˥ba˧˥
ຟ້າວ,faːo,faːo˥˨
ມີລາຄາ,miːlaːkʰaː,miː˧˥laː˧˥kʰaː˧˥
ຫງ່ວມເຫງົາ,ŋuaːmŋao,ŋuaːm˧ŋao˩˧
ຄົນໂສດ,kʰonsoːt,kʰon˧˥soːt˧˩
ຂົ້ນ,kʰon,kʰon˧˩
ວິຫານ,wihaːn,wi˧haːn˩˧
ສອງ,sɔːŋ,sɔːŋ˩˧
ເຫືອດ,hɯːə̯t,hɯːə̯t˧˩
ບໍ່ຮີບຮ້ອນ,bɔːhiːphɔːn,bɔː˧hiːp˥˨hɔːn˥˨
ຕໍ,tɔː,tɔː
ເຄື່ອງພິມດີດ,kʰɯːə̯ŋpʰimdiːt,kʰɯːə̯ŋ˧pʰim˧˥diːt˧˩
ອຶນ,ɯn,ɯn
ຜິດຊອບ,pʰitsɔːp,pʰit˧˥sɔːp˥˨
ກາງຄືນ,kaːŋkʰɯːn,kaːŋkʰɯːn˧˥
ເປືອງ,pɯːə̯ŋ,pɯːə̯ŋ
ແປ່,pɛː,pɛː˧
ປະທານ,patʰaːn,pa˧˥tʰaːn˧˥
ຈຸບ,t͡ɕup,t͡ɕup˧˥
ປີກໄກ່,piːkkaj,piːk˧˩kaj˧
ຕຸ໋ນ,tun,tun
ເປັນໂຣກ,penroːk,penroːk˥˨
ຕຸກກະຕາ,tukkataː,tuk˧˥ka˧˥taː
ເລ,leː,leː˧˥
ມີສຽງ,miːsɯːə̯ŋ,miː˧˥sɯːə̯˩˧ŋ
ຍົກໃຫ້,ɲokhaj,ɲok˧haj˧˩
ເຂັ້ມແຂງ,kʰemkʰɛːŋ,kʰem˧˩kʰɛːŋ˩˧
ວັທ,wiaːtnaːm,wiaːt˥˨naːm˧˥
ແກ່ງ,kɛːŋ,kɛːŋ˧
ລ້ຽງຊີບ,liaːŋsiːp,liaːŋ˥˨siːp˥˨
ສາວະ,saːwa,saː˩˧wa˧
ຄາບ,kʰaːp,kʰaːp˥˨
ພືດ,pʰɯːt,pʰɯːt˥˨
ຍຶດ,ɲɯt,ɲɯt˧
ວໍຊິງຕັນ,wɔːsiŋtan,wɔː˧˥siŋ˧˥tan
ນອກໃຈ,nɔːkt͡ɕaj,nɔːk˥˨t͡ɕaj
ຊາດ,saːt,saːt˥˨
ແດ,dɛː,dɛː
ຕ່ອນ,tɔːn,tɔːn˧
ສຳນັກ,samnak,sam˩˧nak˧
ປະສົມປະສານ,pasompasaːn,pa˧˥som˩˧pa˧˥saːn˩˧
ມັນຕົ້ນ,manton,man˧˥ton˥˨
ປະມານ,pamaːn,pa˧˥maːn˧˥
ແສດ,sɛːt,sɛːt˧˩
ກໍ່ກວນ,kɔːhuaːn,kɔː˧huaːn
ຂະ,kʰa,kʰa˧˥
ຄວາມແກ່ເຖົ້າ,kʰwaːmkɛːtʰao,kʰwaːm˧˥kɛː˧tʰao˧˩
ຄຳຜະສົມ,kʰampʰasom,kʰam˧˥pʰa˧˥som˩˧
ເຂົ້ານົກ,kʰaonok,kʰao˧˩nok˧
ຕະໄລ,talaj,ta˧˥laj˧˥
ເສຖ,suaːt,suaːt˧˩
ບາສ,buaːŋ,buaːŋ˥˨
ເພນ,pʰeːn,pʰeːn˧˥
ກຶ້ງ,kɯŋ,kɯŋ˥˨
ພົມມະບຸດ,pʰommabut,pʰom˧˥ma˧but˧˥
ຍັງໄຄແດ່,ɲaŋkʰajdɛː,ɲaŋ˧˥kʰaj˧˥dɛː˧
ຄວາມສະດວກ,kʰwaːmsaduaːk,kʰwaːm˧˥sa˧˥duaːk˧˩
ໄກສີ,kajsiː,kajsiː˩˧
ຜູ້ອາຍຸອ່ອນ,pʰuːaːɲuɔːn,pʰuː˧˩aːɲu˧ɔːn˧
ແບະ,bɛ,bɛ˧˥
ຟິດ,fit,fit˧
ຜູ້ຮັບ,pʰuːhap,pʰuː˧˩hap˧
ເຕັ້ນລຳ,tenlam,ten˥˨lam˧˥
ຄົນໃນ,kʰonnaj,kʰon˧˥naj˧˥
ເທັດ,tʰet,tʰet˧
ກະເປົາ,kapao,ka˧˥pao˧˥
ການສຳຜັດ,kaːnsampʰat,kaːnsam˩˧pʰat˧˥
ອິຫຍັງ,iɲaŋ,i˧˥ɲaŋ˩˧
ເຖີ້ນ,tʰən,tʰən˧˩
ອາຣີ,aːriː,aːriː˧˥
ພົບ,pʰop,pʰop˧
ສຳເພົາ,sampʰu,sam˩˧pʰu˧˥
ງົວ,ŋuaː,ŋuaː˧˥
ເຢີ,jəː,jəː
ເຂົ້າໃຈ,kʰaot͡ɕaj,kʰao˧˩t͡ɕaj
ຄຳຖາມ,kʰamtʰaːm,kʰam˧˥tʰaːm˩˧
ດົກ,dok,dok˧˥
ສວ່ານ,sawaːn,sa˧˥waːn˧
ພະຍາງ,pʰaɲaːŋ,pʰa˧ɲaːŋ˧˥
ບໍ່ຖືກ,bɔːtʰɯːk,bɔː˧tʰɯːk˧˩
ເອກກະສານ,eːkkasaːn,eːk˧˩ka˧˥saːn˩˧
ກົວ,kuaː,kuaː
ແຄວ້ນ,kʰwɛːn,kʰwɛːn˥˨
ຄວາມກ້າຫານ,kʰwaːmkaːhaːn,kʰwaːm˧˥kaː˥˨haːn˩˧
ປຶ,pi,pi˧˥
ຄໍ,kʰɔː,kʰɔː˧˥
ເທດ,tʰeːt,tʰeːt˥˨
ຣາສີ,raːsiː,raː˧˥siː˩˧
ຢູ່ຕ່າງຫາກ,juːtaːŋhaːk,juː˧taːŋ˧haːk˧˩
ຫລັກແຫລ່ງ,laklɛːŋ,lak˧˥lɛːŋ˧
ພະລັກພະລາມ,pʰalakpʰalaːm,pʰa˧lak˧pʰa˧laːm˧˥
ແຕ່ງ,tɛːŋ,tɛːŋ˧
ຈິງ,t͡ɕiŋ,t͡ɕiŋ
ສິງຫາ,siŋhaː,siŋ˩˧haː˩˧
ຫມີ,miː,miː˩˧
ດວງຕາ,duaːŋtaː,duaːŋtaː
ທຽນ,tʰiaːn,tʰiaːn˧˥
ຂອງຂວັນ,kʰɔːŋkʰwaːn,kʰɔːŋ˩˧kʰwaːn˩˧
ທໍ,tʰɔː,tʰɔː˧˥
ມົນທິນ,montʰin,mon˧˥tʰin˧˥
ບຸຕ,buaːt,buaːt˧˩
ຈວນ,t͡ɕuaːn,t͡ɕuaːn
ຜອມ,pʰɔːm,pʰɔːm˩˧
ເຊັງ,seŋ,seŋ˧˥
ງັດ,ŋat,ŋat˧
ມີອາຊີບ,miːaːsiːp,miː˧˥aːsiːp˥˨
ປະກວດ,pakuaːt,pa˧˥kuaːt˧˩
ພິສຸດ,pʰisut,pʰi˧sut˧˥
ຜູ້ນີ້,pʰuːniː,pʰuː˧˩niː˥˨
ລະຫວ່າງ,lawaːŋ,la˧waːŋ˧
ເປີງ,pəːŋ,pəːŋ
ການກີດຂວາງ,kaːnkiːtkʰwaːŋ,kaːnkiːt˧˩kʰwaːŋ˧˩
ຟົ້ງ,foŋ,foŋ˥˨
ຈົ່ງ,t͡ɕoŋ,t͡ɕoŋ˧
ອິດ,it,it˧˥
ກ້ອງແຂນ,kɔːŋkʰɛːn,kɔːŋ˥˨kʰɛːn˩˧
ຜູ້ໃຫຍ່,pʰuːɲaːj,pʰuː˧˩ɲaːj˧
ພະຍານາກ,pʰaɲaːnaːk,pʰa˧ɲaː˧˥naːk˥˨
ບັນທຸ,bantʰu,bantʰu˧
ມາດຕາ,maːttaː,maːt˥˨taː
ລາງ,laːŋ,laːŋ˧˥
ນິດໃສ,nitsaj,nit˧saj˩˧
ບູຮານ,buːhaːn,buːhaːn˧˥
ໂດຽສະເພາະ,doːjsapʰɔ,doːjsa˧˥pʰɔ˧
ປະໂລມ,paloːm,pa˧˥loːm˧˥
ຢູ່ກິນ,juːkin,juː˧kin
ຮອງທ້ອງ,hɔːŋtʰɔːŋ,hɔːŋ˧˥tʰɔːŋ˥˨
ເຂັ່ນ,kʰen,kʰen˧
ກົກ,kok,kok˧˥
ບັນຊີ,bansiː,bansiː˧˥
ເຍືອ,ɲɯːə̯,ɲɯːə̯˧˥
ແຜງ,pʰɛːŋ,pʰɛːŋ˩˧
ດາບ,daːp,daːp˧˩
ຍາວຮີ,ɲaːohiː,ɲaːo˧˥hiː˧˥
ຫາດ,haːt,haːt˧˩
ຫ້ອມ,hɔːm,hɔːm˧˩
ຫຍ,ɲɔː,ɲɔː˩˧
ໄກ້,kaj,kaj˥˨
ເຄື່ອງ,kʰiaːŋ,kʰiaːŋ˧
ລິເກ,likeː,li˧keː
ນາຕະ,naːta,naː˧˥ta˧˥
ເຂັງ,kʰeŋ,kʰeŋ˩˧
ຫລອມ,lɔːm,lɔːm˩˧
ນອນ,nɔːn,nɔːn˧˥
ແກະ,kɛ,kɛ˧˥
ຕີຄວາມ,tiːkʰwaːm,tiːkʰwaːm˧˥
ຂຸນ,kʰun,kʰun˩˧
ປານີ,paːniː,paːniː˧˥
ເດ,deː,deː
ອ່າວ,aːo,aːo˧
ຄັມພີ,kʰampʰiː,kʰam˧˥pʰiː˧˥
ລິດ,lit,lit˧
ຢາງ,jaːŋ,jaːŋ
ໂຊດຽມ,soːdiaːm,soː˧˥diaːm
ແນວລາວຮັກຊາດ,nɛːwlaːohaksaːt,nɛːw˧˥laːo˧˥hak˧saːt˥˨
ນິທານ,nitʰaːn,ni˧tʰaːn˧˥
ຄວາມສຸກ,kʰwaːmsuk,kʰwaːm˧˥suk˧˥
ມືນ,mɯːn,mɯːn˩˧
ຫຍິ່ງ,ɲiŋ,ɲiŋ˧
ຊາຕາ,sataː,sa˧˥taː
ຄິດຄົ້ນ,kʰitkʰon,kʰit˧kʰon˥˨
ຄວາມຈະເຣີນ,kʰwaːmt͡ɕarəːn,kʰwaːm˧˥t͡ɕa˧˥rəːn˧˥
ເພນີ,pʰeːniː,pʰeː˧˥niː˧˥
