orth,pron_no_tones
ចង្កេះ,cɑŋkeh
សិស្សានុសិស្ស,səhsaanuʔsəh
ចំហៀង,cɑmhiəŋ
ខ្លាញ់,klaɲ
រុងរឿង,ruŋ-rɨəŋ
សណ្ដាប់ធ្នាប់,sɑndap tnoap
ស័ក,sak
បទបញ្ជា,bɑt bɑɲcie
ចង្ហាន់,cɑŋhan
អំណរ,ʔɑmnɑɑ
សំណ,sɑmnɑɑ
អីវ៉ាន់,ʔəy van
ស្រូប,sroop
សង្ក្រាន្ត,sɑŋkraan
របា,rɔbaa
ម្រាម,mriem
អនីតិជន,ʔaʔniiteʔcʊən
តម្រួត,tɑmruət
ពុទ្ធោ,puttʰoo
អាហ្វ្រិក,ʔaafrik
តុល្យភាព,tolyeaʔpʰiep
ឱម,ʔaom
ប្រាំង,praŋ
បន្លឺ,bɑnləə
ច្រមុះ,crɑmoh
ឯកអគ្គរាជទូត,ʔaekaʔakkeaʔrieceaʔtuut
បៃតង,baytɑɑŋ
ក្រោល,kraol
ផ្សា,psaa
ភ្នាល់,pnoal
ភិន,pʰɨn
ក្រាម,kraam
រម្យ,rum
កវី,kaʔvəy
គ្រុន,krun
លាត,liet
ព្រងើយ,prɔŋəəy
ធាក់,tʰeak
ផុស,pʰoh
ស្ដារ,sdaa
បបរ,bɑbɑɑ
កំបាំង,kɑmbaŋ
ក្បៀស,kbiəh
សិលា,seʔlaa
បដិវត្ត,paʔdeʔvoat
ស្រមោល,srɑmaol
រលក,rɔlɔɔk
សេស,saeh
អាសយដ្ឋាន,ʔaasaʔyattʰaan
និមល,niʔmʊəl
សោភ័ណ,saopʰoan
ចាងហ្វាង,caaŋ-vaaŋ
បក្ខ,pak
ល្បុក្កតោ,lbokkaʔtao
កុក,kok
ទង់,tʊəŋ
មេត្រី,meetrəy
ទណ្ឌ,toan
ដាវ,daav
ភណ្ឌ,pʰoandeaʔ
ឆ្ងាញ់,cŋaɲ
ប្រណាំង,prɑnaŋ
វិសាមញ្ញ,viʔsaamaɲ
ពាណិជ,pienɨc
ហ្វឹកហ្វឺន,vɨk-vǝǝn
នីតិកាល,niiteʔkaal
តណ្ហា,tɑnhaa
ស្រ,sraa
ស្ដើង,sdaǝŋ
ឆ្មប,cmɑɑp
ដង្កោ,dɑŋkao
អារាម,ʔaaraam
ហុច,hoc
ទូរ,tuu
ដាល,daal
ភក្តិ,pʰeaʔ
ប្រួល,pruəl
កាក,kaak
បំណុល,bɑmnol
រឹម,rɨm
ខាន់,kʰan
អនុរដ្ឋលេខាធិការ,ʔaʔnuʔroattʰaʔleekʰaatʰiʔkaa
វន,veaʔneaʔ
ថេរ,tʰeɛ
ស្ពាន់,spoan
ជ្រក,crɔɔk
ត្របែក,trɑbaek
ទេសនា,teehsnaa
តន្ត្រី,dɑntrəy
ប្រព្រឹត្តិ,prɑprɨt
ប្រសាទ,prɑsaat
លោម,loom
មែក,mɛɛk
ពពក,pɔpɔɔk
ភិត,pʰɨt
ខាត់,kʰat
មន្ត,mʊən
ចង្កូត,cɑŋkoot
ស្មៀន,smiǝn
បង្ហោះ,bɑŋhɑh
ស្បថ,sbɑt
ចង្រៃ,cɑŋray
ជីតា,cii taa
អាណាចក្រ,ʔaanaacak
រុង,ruŋ
ពិសា,piʔsaa
ខ្សឹប,ksəp
ទិវង្គត,tiʔvʊəŋkʊət
ច្បង,cbɑɑŋ
ដំណាល,dɑmnạal
នោម,noom
ខ្ទឹម,ktɨm
ឆាន់,cʰan
គីមី,kiimii
ម្លូ,mluu
សព្ទ,sap
កុះករ,koh kɑɑ
បំភ្លេច,bɑmplɨc
គេហដ្ឋាន,keehaʔtʰaan
ឡូយ,looy
អហិង្សា,ʔaʔheŋsaa
កុដិ,kot
រែក,rɛɛk
ច្រូត,croot
សង្វៀន,sɑŋviǝn
ទំហឹង,tumhəŋ
អរជុន,ʔɑɑcun
វិញ្ញាណ,vɨɲɲien
ពន់,pʊən
តុង,toŋ
មើលងាយ,məəl ŋiey
ស្ថាពរ,stʰaapɔɔ
កុម្មុយនិស្ត,kommuyniih
បរិច្ចាគ,bɑɑrəccaak
បង្គន់,bɑŋkʊən
រុក,ruk
ងូត,ŋuut
រលីង,rɔliiŋ
វែក,vɛɛk
អផ្សុក,ʔapsok
ញី,ɲii
ចាប,caap
ទិន្នផល,tinneaʔpʰɑl
ប្រឡាក់,prɑlak
អំពៅ,ʔɑmpɨv
អណ្ដើក,ʔɑndaǝk
ដំណាច់,dɑmnac
សុវត្ថិ,soʔvattʰeʔ
រន្ធត់,rʊəntʰʊət
រាវ,riev
ទូរគម,tuureaʔkum
គ្រួ,kruə
វង្វេង,vʊəŋveeŋ
ជិន,cɨn
ក្រហាយ,krɑhaay
បរិសុទ្ធ,bɑɑreʔsot
ប្រទល់,prɑtʊəl
ខ្ញី,kɲəy
ពញា,pɲie
ទទេ,tɔtee
អ្វីខ្លះ,ʔvǝy klah
ជម្រក,cumrɔɔk
ដំណេក,dɑmneɛk
ស្រោច,sraoc
ឥដ្ឋ,ʔǝt
ឃាំង,kʰeaŋ
សម្ល,sɑmlɑɑ
ក្រង,krɑɑŋ
កាំជ្រួច,kamcruəc
នែក,nɛɛk
ក្រាំង,kraŋ
ពោត,poot
សាមណេរ,saamaʔneɛ
គូថ,kuut
ទាំ,toam
ភារៈ,pʰiereaʔ
លេខទោ,leek too
ផ្លុំ,plom
បក់,bɑk
បាល់,bal
ឧទ្ទិស,ʔuttih
ស្រក់,srak
វិសាល,viʔsaal
អណ្ដែត,ʔɑndaet
សុក,sok
ភ្លៅ,plɨv
ទេតើ,tee taə
ពហិការ,peaʔheʔkaa
ប្តេជ្ញា,pdacɲaa
អាស័យ,ʔaasay
ប្រា,praa
ភេរវកម្ម,pʰeereaʔveaʔkam
គភ៌,koa
ស្ល,slaa
ពីរោះ,piirʊəh
ទណ្ឌកម្ម,toandeaʔkam
លទ្ធ,lattʰeaʔ
មាឃ,miek
បរិហារ,bɑɑreʔhaa
លម,lɔɔm
ឱង្ការ,ʔaoŋkaa
អត្ថប្រយោជន៍,ʔattʰaʔprɑyaoc
ញញើត,ɲɔɲəət
បិទបាំង,bət baŋ
រាលដាល,riel daal
ស្រទាប់,srɑtoap
កន្ទេល,kɑnteel
ជ័រ,coa
បៀតបៀន,biət-biən
ញាណ,ɲien
មរតក,meaʔreaʔdɑk
រុក្ខា,rukkʰaa
រៀបរៀង,riəp-riəŋ
សណ្ឋាន,sɑntʰaan
ជំនិះ,cumnih
បំប៉ន,bɑmpɑɑn
អាសូរ,ʔaasoo
មហាសេដ្ឋី,meaʔhaaseɛtʰəy
រដ្ឋប្បវេណី,roattʰappaʔveenii
អធិការដ្ឋាន,ʔaʔtʰiʔkaatʰaan
ស្មា,smaa
ក្រួច,kruəc
សន្ធឹក,sɑntʰɨk
លូត,luut
តម្កើង,tɑmkaəŋ
ជ្រៃ,crəy
ពុទ្ធសាសនា,puttʰeaʔsahsaʔnaa
បរិស័ទ,bɑɑreʔsat
សំបក,sɑmbɑɑk
ឧត្តរមានជ័យ,ʔutdɑɑ mien cey
មហិមា,meaʔheʔmie
ខិល,kʰəl
រោម,room
ភ្លាត់,ploat
វិបាក,viʔpaakaʔ
រឹបអូស,rɨp ʔooh
វេស្សន្តរ,veehsɑntaʔraʔ
កំពែង,kɑmpɛɛŋ
គប់,kup
រឹប,rɨp
ស្អំ,sʔam
ខ្វិន,kvən
ពុង,puŋ
ជណ្ដើរ,cʊəndaə
ប៉ែ,pae
អន្តរាយ,ʔɑntaʔraay
ឆ្អែត,cʔaet
ស្នូល,snool
ពោធិ៍,poo
ម្សៅ,msav
សញ្ញាបត្រ,saɲɲaabat
អត្ត,ʔattaʔ
សម្ពាធ,sampiet
ត្រូល,trool
រង្វាស់,rʊəŋvoah
គាំង,keaŋ
ស្វិត,svǝt
បិត,bət
ក្ដារ,kdaa
អាកាសធាតុ,ʔaakaasaʔtʰiet
ផ្គង់,pkʊəŋ
អាថ៌កំបាំង,ʔaat kɑmbaŋ
សាមី,saamǝy
កិកិ,keʔ-keʔ
បង្វែរ,bɑŋvae
អាម៉ាស់,ʔaamah
ជើងឯក,cəəŋ ʔaek
ហៃ,hay
ឆែក,cʰaek
អគតិ,ʔaʔkeaʔteʔ
បន្លា,bɑnlaa
គ្រុឌ,krut
ម្នាល,mniel
បុត្រី,boʔtrəy
ជ្រុះ,cruh
លោ,loo
ពាក់កណ្ដាល,peak kɑndaal
កាល់,kal
ធូប,tʰuup
ភូមិសាស្ត្រ,pʰuumiʔsaah
វណ្ណ,vannaʔ
សី,səy
សីមា,sǝymaa
រូ,ruu
រំដួល,rumduəl
ព្រា,prie
មាលា,mielie
តង,tɑɑŋ
ស្រួច,sruǝc
ចោម,caom
ដង្កូវ,dɑŋkəv
ឆ្មា,cmaa
ឆៀង,cʰiəŋ
សេព,saep
អង្វែង,ʔɑŋvaeŋ
លំអៀង,lumʔiǝŋ
ជំនះ,cumneah
ដំបូក,dɑmbook
ទារុណកម្ម,tieruʔnaʔkam
រ៉ៃ,ray
បច្ចេកវិជ្ជា,pacceɛkaʔvɨccie
ស្ទាត់,stoat
ឧបាយ,ʔuʔbaay
ហារ,haa
ទូទាត់,tuu toat
ផ្ដែរ,pdae
សង្កែ,sɑŋkae
អូត,ʔoot
ភូមិភាគ,pʰuumpʰiek
ជជុះ,cɔcuh
រលុប,rɔlup
ហុយ,hoy
យុវតី,yuʔveaʔdəy
អង្គប្រជុំ,ʔɑŋ prɑcum
បង្កប់,bɑŋkɑp
ស្រោម,sraom
លួស,luǝh
វិទូ,viʔtuu
ស៊ាំ,soam
រលត់,rɔlʊət
អាល,ʔaal
ស៊យ,sɔɔy
អាប់,ʔap
បរិបូណ៌,bɑɑreʔboo
ប្រៃសណីយ៍,praysaʔnii
ទាល,tiel
សទ្ធា,sattʰie
អនុរក្ស,ʔaʔnuʔreak
យួរ,yuə
ដាយ,daay
ឆ្នៃ,cnay
អកុសល,ʔaʔkoʔsɑl
បេក្ខភាព,peɛkkʰaʔpʰiep
សមាជ,saʔmaac
រាក់,reak
ស្លុត,slot
រំពេច,rumpɨc
ស្នា,snaa
ការី,kaarəy
បន្លាយ,bɑnlaay
បុព្វបុរស,boppeaʔboʔrɑh
ព្រះអាទិត្យ,preah ʔaatɨt
អារ្យធម៌,ʔaaryeaʔtʰoa
តោ,tao
សមិទ្ធិ,saʔmettʰiʔ
ស្បើយ,sbaǝy
ក្សាន្ត,ksaan
អភិសេក,ʔaʔpʰiʔsaek
ទរ,tɔɔ
ខ្ទម,ktɔɔm
ចារឹក,caarɨk
បំពុល,bɑmpul
ជាតា,cietaa
វិសមភាព,viʔsaʔmaʔpʰiep
កាលៈទេសៈ,kaalaʔteesaʔ
ប្រវ័ញ្ច,prɑvaɲ
ឯកទេស,ʔaekaʔteeh
គម្ពីរ,kumpii
និរទេស,nirteeh
ចក្រី,caʔkrəy
អែ,ʔae
បោល,baol
វ៉េ,veɛ
អង់,ʔɑŋ
ទង្គិច,tʊəŋkɨc
អង្រែ,ʔɑŋrɛɛ
ម្លប់,mlup
សមធម៌,saʔmaʔtʰoa
ចក្រភព,cakraʔpʰup
សារពត៌មាន,saapoadaamien
យុទ្ធជន,yuttʰeaʔcʊən
សម្រុក,sɑmrok
ចៃ,cay
អភ័យ,ʔaʔpʰey
ភទ្របទ,pʰoattreaʔbɑt
ត្រេក,treɛk
ឆ្នើម,cnaəm
ត្របក,trɑbɑɑk
ប៉ិន,pən
ចួន,cuən
ខុទ្ទកាល័យ,kʰotteaʔkaalay
ណឹង,nəəŋ
បិសាច,bəysaac
បុព្វ,boppeaʔ
អធិបតេយ្យភាព,ʔaʔtʰippaʔtaypʰiep
មហាវិថី,mɔhaaviʔtʰəy
គីង្គក់,kiiŋ kʊək
ក្រចក,krɑcɑɑk
ទៀប,tiəp
មនោ,meaʔnoo
ចំឡែក,cɑmlaek
ត្រដាង,trɑdaaŋ
យក្ខ,yeak
អាគារ,ʔaakie
លំនាំ,lumnoam
ថង់,tʰɑŋ
មហារីក,mɔhaariik
តឿន,tɨən
ល្បាត,lbaat
ភ្លែត,plɛɛt
បុត្រា,boʔtraa
ខ្ទើយ,ktəəy
ឥណ្ឌូណេស៊ី,ʔǝnduuneɛzii
សម្បុរ,sɑmboo
ឃោរឃៅ,kʰoo-kʰɨv
ថាន,tʰaan
គគីរ,kɔkii
ព្រលឹម,prɔlɨm
បរិយាយ,bɑɑreʔyaay
ស៊ុប,sup
អនុវិទ្យាល័យ,ʔaʔnuʔvittyielay
គំ,kum
កាយវិការ,kaayviʔkaa
លូន,luun
សុរា,soʔraa
ណាយ,naay
សមាធិ,saʔmaatʰiʔ
ឧបាសក,ʔoʔbaasɑk
បញ្ចៀស,bɑɲciəh
ពាម,piem
រលឹក,rɔliik
រំលូត,rumluut
រូបិយវត្ថុ,ruupəyyeaʔvoattʰoʔ
ចាង,caaŋ
ចំណាន,cɑmnaan
បណ្ឌិត្យ,bandɨt
គុំ,kum
និយោជិត,niʔyoocit
ហូរហែ,hoo-hae
សមុទ្ទ,saʔmot
សំណេះសំណាល,sɑmneh-sɑmnaal
តប់,tɑp
ម៉ុង,moŋ
អត្ថ,ʔattʰaʔ
ណ្ហើយ,nahaəy
ជ្រលក់,crɔlʊək
នង្គ័ល,neaŋkoal
រាល,riel
របាំង,rɔbaŋ
តាច,taac
សំណាប,sɑmnaap
ទប់ទល់,tup tʊəl
ចំរុះ,cɑmroh
ឧទ្យាន,ʔuttyien
កំទេច,kɑmtɨc
មាឌ,miet
រុំ,rum
បាង,baaŋ
ភៀស,pʰiəh
សរីរាង្គ,saʔrəyrieŋ
ស្លាបព្រា,slaap prie
ស្ពាយ,spiey
ក្រវាត់,krɑvat
បន្តឹង,bɑntəŋ
បំណាច់,bɑmnac
ចាំង,caŋ
ទេសភាព,teehsaʔpʰiep
តាបស,taabɑh
រដ្ឋធានី,roattʰaʔtʰienii
លោភ,loop
ប្រណី,prɑnəy
ប្រហោង,prɑhaoŋ
គម្រាម,kumriem
គំនរ,kumnɔɔ
ធាត់,tʰoat
ឫក,rɨk
ភ្ជួរ,pcuə
ប្រហែស,prɑhaeh
អាត់,ʔat
ឆោម,cʰaom
នែ,nɛɛ
ប្រៃ,pray
អ៊ុយ,ʔuy
ជាវ,ciev
ទ្វេភាគី,tveepʰiekii
ហាល,haal
ពុទ្ធបរិស័ទ,puttʰeaʔbɑɑreʔsat
ផ្ទួន,ptuən
ឡៅ,lav
សណ្ដែក,sɑndaek
បាវ,baav
ស្រយាល,srɑyaal
សមាហរណ,saʔmaahaʔraʔnaʔ
អុំ,ʔom
ហនុមាន,haʔnuʔmaan
ទុតិយ,tuʔteʔyaʔ
ពេចន៍,pɨc
ទូន្មាន,tuunmien
រុយ,ruy
សង្ហា,sɑŋhaa
ដួស,duəh
ទំនងជា,tumnɔɔŋ cie
សួគ៌,suǝ
រោច,rooc
ក្រឡាប់,krɑlap
បថ,bɑt
ទិដ្ឋាការ,tittʰaakaa
ភូត,pʰuut
បសុព្យាបាល,paʔsoʔpyiebaal
រដ្ឋប្រហារ,roattʰaʔprɑhaa
ត្រឡោក,trɑlaok
ជុល,cul
មហន្តរាយ,meaʔhɑntaʔraay
វិការ,viʔkaareaʔ
ទស្សន,tʊəhsaʔnaʔ
ទើបនឹង,təəp nɨŋ
អវិជ្ជា,ʔaʔvɨccie
សុទិដ្ឋិនិយម,soʔtiʔtʰeʔniʔyum
ឈើទាល,cʰəə tiel
បួល,buəl
សុទ្ធិ,sottʰiʔ
រមាំង,rɔmeaŋ
ជំនន់,cumnʊən
លង្កា,laŋkaa
កំរោល,kɑmraol
សំណេះ,sɑmneh
តាន់,tan
ប៉ែក,paek
ព្រួញ,pruəɲ
យ៉ង,yɑɑŋ
ឃ្វាល,kviel
ពើ,pəə
ការុង,kaaroŋ
ផ្នត់,pnɑt
ពពួក,pɔpuək
ណែន,naen
ឆ្អិន,cʔən
ប្រសូត,prɑsoot
ពោធិសត្វ,pootʰiʔsat
ទោ,too
ស៊ុត,sut
ប្រសា,prɑsaa
ជល់,cʊəl
មើម,məəm
ធម្មទេសនា,tʰoammeaʔteesaʔnaa
អគុណ,ʔaʔkun
រូង,ruuŋ
មមាញឹក,mɔmie ɲɨk
បាច,baac
ពន្លឿន,pʊənlɨən
វិភាគទាន,viʔpʰiekeaʔtien
ម្ទេស,mteeh
បរិញ្ញាបត្រ,paʔrəɲɲaabat
ខ្ទប់,ktup
ខ្ពើម,kpəəm
ផ្តួច,pduəc
រតនៈ,roattaʔnaʔ
សោមនស្ស,saomaʔnoah
ញ៉ាំង,ɲaŋ
ក្ស័យ,ksay
អធិបតេយ្យ,ʔaʔtʰippaʔtay
លន់,lʊən
ផេះ,pʰeh
បទឧក្រិដ្ឋ,bɑtʔokrət
ទ្រាយ,triey
គណនា,keaʔnaʔnie
ក្រំ,krɑm
ចក់,cɑk
ស្រៈ,sraʔ
វិចិត្រករ,viʔceʔtraʔkɑɑ
កង្កែប,kɑŋkaǝp
ចង្អៀត,cɑŋʔiət
មហេសី,meaʔheɛsəy
បង្អួច,bɑŋʔuəc
ច្របល់,crɑbal
ព្រាត់,proat
កណ្ដុរ,kɑndao
បន្ទះ,bɑnteah
ចេតិយ,caetdəy
ឈ្លើយ,cləəy
វារៈ,viereaʔ
អុជ,ʔoc
ឋិត,tʰət
ថី,tʰəy
ស្រស់ស្រូប,srɑh-sroop
ដំបៅ,dɑmbav
សារជាតិ,saaraʔciet
មហិច្ឆតា,meaʔhəccʰaʔtaa
គោះ,kʊəh
នរូ,nɔruu
វាគ្មិន,viekmin
រ៉ាត់,rat
វេយ្យាករណ៍,veeyyiekɑɑ
សម្រស់,sɑmrɑh
នេត្រ,neet
វិស្វករ,vihsvaʔkɑɑ
ហ្លួងព្រះបាង,luǝŋ preah baaŋ
ផាត់,pʰat
ប្រហាក់ប្រហែល,prɑhak-prɑhael
ទ្រុង,truŋ
ស្រេង,sreɛŋ
ក្រអូប,krɑʔoop
ស្គរ,skɔɔ
សាត់,sat
ពូន,puun
ដិត,dət
លិង្គ,lɨŋ
តាន,taan
បង្វិល,bɑŋvəl
គាត,kiet
មជ្ឈការ,maccʰeaʔkaa
សំនៀង,sɑmniəŋ
ពង្សាវតារ,pʊəŋsaaveaʔdaa
ការប្រកាស,kaaprɑkaah
កន្សែង,kɑnsaeŋ
ផៃ,pʰay
ស៊ីសង,sii sɑɑŋ
ទិព្វ,tip
សួ,suǝ
វះ,veah
ប្រទាក់,prɑteak
ជន្ម,cʊənmeaʔ
ត្រសក់,trɑsɑk
ចម្រាញ់,cɑmraɲ
អុញ,ʔoɲ
អ៊ីតាលី,ʔiitaalii
ក្រពះ,krɑpeah
សម្ផស្ស,sampʰahsaʔ
ជូរ,cuu
ដក់,dɑk
អាទិទេព,ʔaatiʔteep
ព្រាន,prien
អនាមិក,ʔaʔniemik
អន្លើ,ʔɑnləə
បំបាក់,bɑmbak
បដិ,paʔdeʔ
សុ. ចិ. បុ. លិ,soʔ-ceʔ-poʔ-liʔ
ឡាំង,laŋ
ចៀន,ciən
កិប,kep
ម៉ឺងម៉ាត់,məəŋ mat
គួយ,kuəy
កកាយ,kɑkaay
មុខជា,muk cie
រៀបរយ,riəp-rɔɔy
ហួត,huǝt
ពាណិជ្ជ,pienɨc
គ្រញូង,krɔɲuuŋ
សុចរិត,soʔcaʔrɨt
អនុគ្រោះ,ʔaʔnuʔkrʊəh
ឧបមា,ʔoʔpaʔmaa
ជីវប្រវត្តិ,ciiveaʔprɑvoat
កំរ,kɑmrɑɑ
សុពលភាព,soʔpeaʔleaʔpʰiep
រដឹក,rɔdək
ហាស,haah
បង្គា,bɑŋkie
រំលំ,rumlum
នាថ,niet
ក្ដាម,kdaam
សញ្ញាណ,saɲɲaan
អនេក,ʔaʔnaek
ម៉ូត,moot
ពង់,pʊəŋ
ធម្មការ,tʰoammeaʔkaa
បែបបទ,baep bɑt
មុជ,muc
រីង,riiŋ
ទ្រឹស្ដី,trɨhsdəy
ល្ហុង,lhoŋ
ហង,haaŋ
សក្តិ,sak
ស្រេក,sreɛk
ក្រណាត់,krɑnat
ឈោង,cʰooŋ
លោះ,lʊəh
ពពែ,pɔpɛɛ
ស្របក់,srɑbɑk
ឥន្ទ្រី,ʔentrii
ទំនាយ,tumniey
មួល,muəl
វិសុទ្ធ,viʔsot
ស្បោង,sbaoŋ
ខ្ចោះ,kcɑh
កំសាក,kɑmsaak
មន្ទិល,mʊəntɨl
អាក់,ʔak
អម្ពិល,ʔɑmpɨl
មហាអំណាច,mɔhaaʔamnaac
ស្បូវ,sbǝv
កិលេស,keʔleɛh
ស្នំ,snɑm
ស៊ឹង,sɨŋ
ប្រសព្វ,prɑsɑp
ច្រត់,crat
សុខុម,soʔkʰom
សួស,suǝh
ធុរៈ,tʰuʔreaʔ
ព្រៃនគរ,prey nɔɔkɔɔ
ដំបូន្មាន,dɑmboon mien
អម្បាល,ʔɑmbaal
ឦសាន,ʔəysaan
ង៉ែត,ŋaet
តុបតែង,top taeŋ
តម្បាញ,tɑmbaaɲ
បំភ្លៃ,bɑmpley
កុងស៊ុល,koŋ sul
ថ្នម,tnɑɑm
ឆី,cʰəy
ប្រជាប្រិយ,prɑcieprəy
សន្មត,sɑnnǝmɑt
ទត,tɔɔt
អនាចារ,ʔaʔnaacaa
ត្បាញ,tbaaɲ
ពណ៌នា,poanaʔnie
កន្តើយ,kɑntaəy
គុយទាវ,kuy tiev
ល្បាញ,lbaaɲ
ពក,pɔɔk
ឱនភាព,ʔaoneaʔpʰiep
រុះ,ruh
ខ្លោច,klaoc
ថូ,tʰoo
ប្រវេ,prɑveɛ
ឆើត,cʰaət
មារ,mie
បញ្ឈរ,bɑɲcʰɔɔ
ស្បៃ,sbay
មាគ៌ា,miekie
ចត់,cɑt
ត្រាំ,tram
អិស្លាម,ʔihslaam
បន្ធូរ,bɑntʰuu
ឆែកឆេរ,cʰaek-cʰeɛ
បារាយណ៍,baaraay
រន្ធ,rʊən
អ៊ុត,ʔut
រអ៊ូ,rɔʔuu
ព្រឹត្តិ,prɨt
និវត្តន៍,niʔvoat
ថ្មើរ,tmaə
ត្រួស,truəh
បណ្ដែត,bɑndaet
ឆាំង,cʰaŋ
អាល័យ,ʔaalay
ឧកាស,ʔuʔkaasaʔ
ស្គម,skɔɔm
ហែក,haek
មេមត់,mee mʊət
អត្តឃាត,ʔattaʔkʰiet
អនុស្សរណៈ,ʔaʔnuhsaʔraʔnaʔ
រំកិល,rumkəl
ប្រៀន,priən
លាមក,liemʊək
ផ្ទៀង,ptiəŋ
ទេពកោសល្យ,teepkaosɑl
ផ្គរ,pkɔɔ
ចារិក,caarɨk
ឥសូរ,ʔiʔsoo
រៀម,riəm
ឡាក,laak
ក្រឡ,krɑlɑɑ
លទ្ធកម្ម,lattʰeaʔkam
អឺងកង,ʔəəŋ kɑɑŋ
ងងុយ,ŋɔŋuy
ស្ទូង,stuuŋ
ច្របាច់,crɑbac
សត្ត,sattaʔ
ឆ្មារ,cmaa
ទន្ទឹង,tʊəntɨŋ
ផ្សឹក,psək
នឹម,nɨm
កំផែង,kɑmpʰaeŋ
ញក,ɲɔɔk
ឆ្មក់,cmɑk
លីន,lɨn
អនិច្ចា,ʔaʔnɨccaa
ស្ងោរ,sŋao
ព្រឹទ្ធ,prɨt
ពិស,pɨh
ផ្កាប់,pkap
លៃ,ley
ភ្ជង់,pcʊəŋ
ផ្ដេសផ្ដាស,pdeɛh-pdaah
ទេសកាល,teehsaʔkaal
ប្រថាប់,prɑtʰap
សារពើ,saarapǝǝ
អាគម,ʔaakum
ថ្កើង,tkaəŋ
សោហ៊ុយ,sao huy
សើរើ,saǝ-rǝǝ
ប៉ៅ,pav
ជ្រោះ,crʊəh
រណប,rɔnɑɑp
លីវ,liiv
បាគង,baa kɔɔŋ
គួប,kuəp
គ្រវី,krɔvii
ព្រឺ,prɨɨ
សិង្ហ,səŋ
ដៀល,diəl
សុគន្ធ,soʔkɔǝn
មកុដ,meaʔkot
ទន្ទ្រាន,tʊəntrien
ធ្វេស,tveeh
រមាស,rɔmieh
និគម,niʔkum
ព្រាប,priep
សៃ,spey
ឥណ្ឌូចិន,ʔǝnduucǝn
ប្រជាមានិត,prɑciemienit
សើម,saǝm
ពោរ,poo
ឆែម,cʰaem
គន្លង,kʊənlɔɔŋ
អាថ៌,ʔaa
ច្រាស,craah
ត្អូញ,tʔooɲ
លៀង,liǝŋ
លេខាធិការដ្ឋាន,leekʰaatʰiʔkaatʰaan
ផ្សង,psɑɑŋ
ជញ្ជីង,cʊəɲciiŋ
ព្រួត,pruət
ខ្វល់ខ្វាយ,kvɑl-kvaay
ហោម,haom
សួគ៌ា,suǝrkie
ទណ្ឌិត,toandɨt
សាន្ត,saan
លង្វែក,lʊəŋvɛɛk
ម្ល៉ោះ,mlɑh
គំនុំ,kumnum
បបែល,bɑbael
បំភាន់,bɑmpʰoan
សួង,suǝŋ
បញ្ញវន្ត,paɲɲaʔvoan
រ៉ាប់,rap
វារ,vie
ញែក,ɲɛɛk
ធេង,tʰeeŋ
ខ្ពង់,kpʊəŋ
ស្មាញ,smaaɲ
គ្រហស្ថ,krɔhoah
ខ្វាវ,kvaav
ហ៊ីង,hiiŋ
ប្រថុយ,prɑtʰoy
មូរ,muu
អើពើ,ʔaǝ-pǝǝ
តម្រិះ,tɑmreh
ផ្តាំ,pdam
រសាត់,rɔsat
ស្ដួច,sduǝc
ហោជាង,hao cieŋ
សង្គមនិយម,sɑŋkeaʔmeaʔniʔyum
អូយ,ʔooy
បពិត្រ,bɑpit
ផ្ដន្ទា,pdɑn tie
ហ្មត់ចត់,mat cat
មរណ,meaʔreaʔnaʔ
ដំណំ,dɑmnɑm
ថ្ងូរ,tŋoo
ចំអក,cɑmʔɑɑk
ឧត្តរ,ʔutdɑɑ
ជោក,cook
វត្សរ៍,voat
សគុណ,saʔkun
ហ៊ោ,hoo
វង្សា,vʊəŋsaa
ពិសាខ,piʔsaak
ឡោម,laom
គំហុក,kumhok
ជ្រែក,crɛɛk
ឯកសណ្ឋាន,ʔaek sɑntʰaan
តឿ,tɨə
ស្ថាបត្យកម្ម,stʰaaptaʔyaʔkam
សេន,seɛn
វ៉,vɑɑ
ក្រែល,krael
រង្គាល,rʊəŋkiel
ព្រ័ត្រ,proat
កកើត,kɑkaət
ទំពាំង,tumpeaŋ
រាក់ទាក់,reak-teak
រសើប,rɔsaəp
អភិ,ʔaʔpʰiʔ
ចាល,caal
រំភើយ,rumpʰəəy
ផ្ទាត់,ptoat
ផួយ,pʰuəy
ស្មុគ,smok
អធិការកិច្ច,ʔaʔtʰiʔkaakǝc
វេរ,vee
បំបិទ,bɑmbət
ថ្កុំថ្កើង,tkom-tkaəŋ
ត្រៃ,tray
ហើម,haǝm
ប៉ោង,paoŋ
វៀច,viəc
សោភា,saopʰie
រុក្ខ,rukkʰaʔ
សម្បា,sɑmbaa
ទ្រាន់,troan
លៀម,liǝm
និក្ខេបបទ,nikkʰeɛpaʔbɑt
កាព្យ,kaap
យុគ,yuk
ខ្លៅ,klav
ស្បែកជើង,sbaek cǝǝŋ
រទូ,rɔtuu
បង្អង់,bɑŋʔɑŋ
យោគ,yook
ទើស,təəh
ស្រងាត់,srɑŋat
បំពង,bɑmpɔɔŋ
ឆាយា,cʰaayaa
ភ្លឹក,plɨk
ផ្ដៅ,pdav
តក់,tɑk
អុស,ʔoh
គាំពារ,koampie
រន្ទះ,rʊənteah
គុម្ព,kum
ប្រស្នា,prɑsnaa
ក្អក,kʔɑɑk
ផលិតភាព,pʰɑllɨttaʔpʰiep
អឺយ,ʔəəy
រណ្ដៅ,rʊəndav
លុង,luŋ
រំជួល,rumcuəl
