orth,pron_no_tones,pron_with_tones
ຕູ,tuː,tuː
ໃນໄວໆນີ້,najwajwajniː,naj˧˥waj˧˥waj˧˥niː˥˨
ອັກຄະ,akkʰa,ak˧˥kʰa˧
ຍົກເວັ້ນ,ɲokwen,ɲok˧wen˥˨
ເສດຖີ,seːttʰiː,seːt˧˩tʰiː˩˧
ຜູ້ຕາງຫນ້າ,pʰuːtaːŋnaː,pʰuː˧˩taːŋnaː˧˩
ໂພດ,pʰoːt,pʰoːt˥˨
ຖິ້ມ,tʰim,tʰim˧˩
ມອດ,mɔːt,mɔːt˥˨
ຕາຝັ່ງ,taːfaŋ,taːfaŋ˧
ສາງ,saːŋ,saːŋ˩˧
ອາວຸໂສ,aːwusoː,aːwu˧soː˩˧
ນ້ຳໃຈ,namt͡ɕaj,nam˥˨t͡ɕaj
ຕລາດ,talaːt,ta˧˥laːt˧˩
ອັກເສບ,akseːp,ak˧˥seːp˧˩
ເປັນສີ,pensiː,pensiː˩˧
ນັ້ນແລ້ວ,nanlɛːw,nan˥˨lɛːw˥˨
ຜູ້ຊ່ຽວຊານ,pʰuːsiaːwsaːn,pʰuː˧˩siaːw˧saːn˧˥
ເວັນ,wen,wen˧˥
ຄວາມຈຳ,kʰwaːmt͡ɕam,kʰwaːm˧˥t͡ɕam
ມີຊື່ວ່າ,miːsɯːwaː,miː˧˥sɯː˧waː˧
ຕັບ,tap,tap˧˥
ປາກຊ່ອງ,paːlsɔːŋ,paːl˧˩sɔːŋ˧
ຣົຖ,rot,rot˧
ພາດ,pʰaːt,pʰaːt˥˨
ພຸດ,pʰut,pʰut˧
ຈັດວາງ,t͡ɕatwaːŋ,t͡ɕat˧˥waːŋ˧˥
ສວັນນະເຂດ,sawannakʰeːt,sa˧˥wan˩˧na˧kʰeːt˧˩
ຢູ່ເທິງ,juːtʰəŋ,juː˧tʰəŋ˧˥
ໂຈມຕີ,t͡ɕoːmtiː,t͡ɕoːmtiː
ຈ້າງ,t͡ɕaːŋ,t͡ɕaːŋ˥˨
ຜິດຫວັງ,pʰitwaŋ,pʰit˧˥waŋ˩˧
ມືດ,mɯːt,mɯːt˥˨
ຄົນພິການ,kʰonpʰikaːn,kʰon˧˥pʰi˧kaːn
ແລນ,lɛːn,lɛːn˧˥
ວິເຄາະ,wikʰɔ,wi˧kʰɔ˧
ຕຽງ,tiaːŋ,tiaːŋ
ພຸດທະ,pʰuttʰa,pʰut˧tʰa˧
ກ່ອງ,kɔːŋ,kɔːŋ˧
ຄວັນ,kʰwan,kʰwan˧˥
ຢູ່ເຮືອນ,juːhɯːə̯n,juː˧hɯːə̯n˧˥
ຫໍ່,hɔː,hɔː˧
ອຸ,u,u˧˥
ປຽບ,piaːp,piaːp˧˩
ຄວາມທຸກ,kʰwaːmtʰuk,kʰwaːm˧˥tʰuk˧
ຝິ່ນ,fin,fin˧
ສວັນ,sawaːn,sa˧˥waːn˩˧
ເສຣີ,seːriː,seː˩˧riː˧˥
ຜູ້ໃຫຍ່,pʰuːɲaːj,pʰuː˧˩ɲaːj˧
ພາຄ,pʰuːkkʰaːo,pʰuːk˥˨kʰaːo˧˥
ຕົວະ,tua,tua˧˥
ຫັກ,hak,hak˧˥
ລີ້,lɯː,lɯː˥˨
ໄຂ້,kʰaj,kʰaj˧˩
ຈອກ,t͡ɕɔːk,t͡ɕɔːk˧˩
ປວດ,puaːt,puaːt˧˩
ກາບ,kaːp,kaːp˧˩
ຕົວແບບ,tuaːbɛːp,tuaːbɛːp˧˩
ເປັນຍ້ອນ,penɲɔːn,penɲɔːn˥˨
ມີຄ່າ,miːkʰaː,miː˧˥kʰaː˧
ກົມກຽວ,komkiaːw,komkiaːw
ອີ່,iː,iː˧
ດຶງ,dɯŋ,dɯŋ
ປາງ,paːŋ,paːŋ
ເວ,weː,weː˧˥
ດ່າ,daː,daː˧
ເສ,seː,seː˩˧
ເຈົ້າສາວ,t͡ɕaosaːo,t͡ɕao˥˨saːo˩˧
ລຳບາກ,lambaːk,lam˧˥baːk˧˩
ຄວ້າ,kʰwaː,kʰwaː˥˨
ມີປະສິດທິພາບ,miːpasittʰipʰaːp,miː˧˥pa˧˥sit˧˥tʰi˧pʰaːp˥˨
ຄວາມເປັນມາ,kʰwaːmpenmaː,kʰwaːm˧˥penmaː˧˥
ສົນ,son,son˩˧
ແປດ,pɛːt,pɛːt˧˩
ແຊບ,sɛːp,sɛːp˥˨
ບໍ່ກ້າ,bɔːkaː,bɔː˧kaː˥˨
ຣາມ,raːm,raːm˧˥
ເກືອ,kɯːə̯,kɯːə̯
ກຳຈັດ,kamt͡ɕat,kamt͡ɕat˧˥
ວັງວຽງ,waŋwiaːŋ,waŋ˧˥wiaːŋ˧˥
ຂອດ,kʰɔːt,kʰɔːt˧˩
ຄົວ,kʰuaː,kʰuaː˧˥
ປ້າ,paː,paː˥˨
ປະສົງ,pasoŋ,pa˧˥soŋ˩˧
ຍູ້,ɲuː,ɲuː˥˨
ແທ່ນ,tʰɛːn,tʰɛːn˧
ນ້ຳຕານ,namtaːn,nam˥˨taːn
ສາມັນ,saːman,saː˩˧man˧˥
ຄອບ,kʰɔːp,kʰɔːp˥˨
ອອກກຳລັງ,ɔːkkamlaŋ,ɔːk˧˩kamlaŋ˧˥
ຄວາມສະອາດ,kʰwaːmsaaːt,kʰwaːm˧˥sa˧˥aːt˧˩
ເຂັ້ມ,kʰem,kʰem˧˩
ໄຮ້,haj,haj˥˨
ຕຽມ,tiaːm,tiaːm
ອົບອຸ່ນ,opun,op˧˥un˧
ບັນດິດ,bandit,bandit˧˥
ຂອງຂວັນ,kʰɔːŋkʰwaːn,kʰɔːŋ˩˧kʰwaːn˩˧
ມີສະຕິ,miːsati,miː˧˥sa˧˥ti˧˥
ສິລ,suaːm,suaːm˧˩
ຜູ້ຄົນ,pʰuːkʰon,pʰuː˧˩kʰon˧˥
ໄດ້ຄວາມ,dajkʰwaːm,daj˥˨kʰwaːm˧˥
ແຖມ,tʰɛːm,tʰɛːm˩˧
ຄົນລະ,kʰonla,kʰon˧˥la˧
ທວງ,tʰuaːŋ,tʰuaːŋ˧˥
ເລື່ອນ,lɯːə̯n,lɯːə̯n˧
ຍັດຕິ,ɲatti,ɲat˧ti˧˥
ວາດ,waːt,waːt˥˨
ຍື່ນ,ɲɯːn,ɲɯːn˧
ນິນ,nin,nin˧˥
ທີ່ຖືກຕ້ອງ,tʰiːtʰiːktɔːŋ,tʰiː˧tʰiːk˧˩tɔːŋ˥˨
ການທູດ,kaːntʰuːt,kaːntʰuːt˥˨
ຢູ່ນີ້,juːniː,juː˧niː˥˨
ຍົມ,ɲom,ɲom˧˥
ວອນ,wɔːn,wɔːn˧˥
ແຮ,hɛː,hɛː˧˥
ຄວາມແຕກຕ່າງ,kʰwaːmtɛːktaːŋ,kʰwaːm˧˥tɛːk˧˩taːŋ˧
ຄົນດີ,kʰondiː,kʰon˧˥diː
ໂຢ,joː,joː
ຊາຕ,suaːtluaːt,suaːt˥˨luaːt˥˨
ສອກຫລີກ,sɔːkliːk,sɔːk˧˩liːk˧˩
ຢູ່ໃສ,juːsaj,juː˧saj˩˧
ລະຄັງ,lakʰaŋ,la˧kʰaŋ˧˥
ວາລະ,waːla,waː˧˥la˧˥
ເປັນຕາ,pentaː,pentaː
ຄວາມສຳພັນ,kʰwaːmsampʰan,kʰwaːm˧˥sam˩˧pʰan˧˥
ມີຄວາມສົນໃຈ,miːkʰwaːmsont͡ɕaj,miː˧˥kʰwaːm˧˥son˩˧t͡ɕaj
ຜົມ,pʰom,pʰom˩˧
ຂ້ອງ,kʰɔːŋ,kʰɔːŋ˧˩
ແອວ,ɛːw,ɛːw
ຊີມັງ,siːmaŋ,siː˧˥maŋ˧˥
ສາລາ,saːlaː,saː˩˧laː˧˥
ພຽນ,pʰiaːn,pʰiaːn˧˥
ຫລອດ,lɔːt,lɔːt˧˩
ສັນຕິ,santi,san˩˧ti˧˥
ຫ່ວງ,huaːŋ,huaːŋ˧
ແຖບ,tʰɛːp,tʰɛːp˧˩
ຊີ່,siː,siː˧
ບຳນານ,bamnaːn,bamnaːn˧˥
ຄຸ້ມ,kʰum,kʰum˥˨
ກວ່າຫມູ່,kwaːmuː,kwaː˧muː˧
ຕໍ່ຈາກ,tɔːt͡ɕaːk,tɔː˧t͡ɕaːk˧˩
ຕັ້ງຊື່,taŋsɯː,taŋ˥˨sɯː˧
ໃຫ້ທັນ,hajtʰan,haj˧˩tʰan˧˥
ຮໍ,hɔː,hɔː˧˥
ນັບຕັ້ງແຕ່,naptaŋtɛ,nap˧taŋ˥˨tɛ˧
ປາບ,paːp,paːp˧˩
ຫວາ,wa,wa˧˥
ປາກົດ,paːkot,paːkot˧˥
ທະລຸ,tʰalu,tʰa˧lu˧
ຫຍິບ,ɲip,ɲip˧˥
ອົດທົນ,ottʰon,ot˧˥tʰon˧˥
ທົບ,tʰop,tʰop˧
ລິວ,liw,liw˧˥
ມີຂຶ້ນ,miːkʰɯn,miː˧˥kʰɯn˧˩
ບັນຈຸ,bant͡ɕu,bant͡ɕu˧˥
ກິ່ງ,kiŋ,kiŋ˧
ກິ່ນ,kin,kin˧
ຊິດ,sit,sit˧
ເວີນ,wəːn,wəːn˧˥
ຮ່ອງ,hɔːŋ,hɔːŋ˧
ສຍາມ,saɲaːm,sa˧˥ɲaːm˩˧
ພູມີ,pʰuːmiː,pʰuː˧˥miː˧˥
ສັມພາດ,sampʰaːt,sam˩˧pʰaːt˥˨
ຫວງ,huaːŋ,huaːŋ˩˧
ອາສາ,aːsaː,aːsaː˩˧
ມົດລູກ,motluːk,mot˧luːk˥˨
ຜູ້ເປັນ,pʰuːpen,pʰuː˧˩pen
ເຕະ,te,te˧˥
ມີ່,miː,miː˧
ມີສຽງ,miːsɯːə̯ŋ,miː˧˥sɯːə̯˩˧ŋ
ຈັງຫວັດ,t͡ɕaŋwat,t͡ɕaŋwat˧˥
ຍິ້ມ,ɲim,ɲim˥˨
ຊັກ,sak,sak˧
ເບື່ອ,bɯːə̯,bɯːə̯˧
ປ້ອງ,pɔːŋ,pɔːŋ˥˨
ທີ່ຈິງ,tʰiːt͡ɕiŋ,tʰiː˧t͡ɕiŋ
ຄຳສັບ,kʰamsap,kʰam˧˥sap˧˥
ສາກ,saːk,saːk˧˩
ຕົ້ມ,tom,tom˥˨
ດູແລ,duːlɛː,duːlɛː˧˥
ຢູ່ນຳ,juːnam,juː˧nam˧˥
ເຈາະ,t͡ɕɔ,t͡ɕɔ˧˥
ດານ,daːn,daːn
ສັບປະດາ,sappadaː,sap˧˥pa˧˥daː
ຮັ້ນ,han,han˥˨
ສິນລະປະ,sinlapa,sin˩˧la˧pa˧˥
ບາງທີ,baːŋtʰiː,baːŋtʰiː˧˥
ມອນ,mɔːn,mɔːn˧˥
ຢ່າງດຽວ,jaːŋdiaːw,jaːŋ˧diaːw
ຊວງ,suaːŋ,suaːŋ˧˥
ອົງປະກອບ,oŋpakɔːp,oŋpa˧˥kɔːp˧˩
ຫວາດ,waːt,waːt˧˩
ຈະເຣີນ,t͡ɕarəːn,t͡ɕa˧˥rəːn˧˥
ໄຫ້,haj,haj˧˩
ຜູ້ຟັງ,pʰuːfaŋ,pʰuː˧˩faŋ˧˥
ເທວີ,tʰeːwiː,tʰeː˧˥wiː˧˥
ຕຽນ,tiaːn,tiaːn
ສຽບ,siaːp,siaːp˧˩
ໄຫວ້,waj,waj˩˧
ນະມັດສະການ,namatsakaːn,na˧mat˧sa˧˥kaːn
ການຕ້ອນຮັບ,kaːntɔːnhap,kaːntɔːn˥˨hap˧
ແກ່ນ,kɛːn,kɛːn˧
ກະທັນຫັນ,katʰanhan,ka˧˥tʰan˧˥han˩˧
ແປະ,pɛ,pɛ˧˥
ບໍ່ເຖິງ,bɔːtʰəŋ,bɔː˧tʰəŋ˩˧
ຕາດ,taːt,taːt˧˩
ຮາກ,haːk,haːk˥˨
ເອົາລະ,aola,aola˧
ປະສິດ,pasit,pa˧˥sit˧˥
ລະມັດລະວັງ,lamatlawaŋ,la˧mat˧la˧waŋ˧˥
ບໍ່ຈຳ,bɔːt͡ɕam,bɔː˧t͡ɕam
ທ່ອນ,tʰɔːn,tʰɔːn˧
ການເກັບກ່ຽວ,kaːnkepkiaːw,kaːnkep˧˥kiaːw˧
ແຊມ,sɛːm,sɛːm˧˥
ໂຈນ,t͡ɕoːn,t͡ɕoːn
ງຽບ,ŋiaːp,ŋiaːp˥˨
ປອນ,pɔːn,pɔːn
ທິບ,tʰip,tʰip˧
ເປົ່າ,pao,pao˧
ການປູກຝັງ,kaːnpuːkfaŋ,kaːnpuːk˧˩faŋ˩˧
ກ້ອນ,kɔːn,kɔːn˥˨
ປາຖະ,paːtʰa,paːtʰa˧˥
ລັດທິ,lattʰi,lat˧tʰi˧
ໂຂງ,kʰoːŋ,kʰoːŋ˩˧
ຫລາກ,laːk,laːk˧˩
ໄຮ,haj,haj˧˥
ຮີ,hiː,hiː˧˥
ຍາພໍ່,ɲaːpʰɔː,ɲaː˧˥pʰɔː˧
ຊ້ຳພັດ,sampʰat,sam˥˨pʰat˧
ເຄື່ອນ,kʰɯːə̯n,kʰɯːə̯n˧
ຍົກເອົາ...ມາເວົ້າ,ɲokao...maːwao,ɲok˧ao...maː˧˥wao˥˨
ທົບທວນ,tʰoptʰuaːn,tʰop˧tʰuaːn˧˥
ຄູນ,kʰuːn,kʰuːn˧˥
ຈຸ,t͡ɕu,t͡ɕu˧˥
ເນີນ,nəːn,nəːn˧˥
ໂຍ,ɲoː,ɲoː˧˥
ສະຖານະການ,satʰaːnakaːn,sa˧˥tʰaː˩˧na˧kaːn
ສະຖາປະນາ,satʰaːpaːnaː,sa˧˥tʰaː˩˧paː˧˥naː˧˥
ຮັບໃຫ້,haphaj,hap˧haj˧˩
ສົ້ນ,son,son˧˩
ບຸ,bu,bu˧˥
ປ່ອງ,pɔːŋ,pɔːŋ˧
ຈີບກັນ,t͡ɕiːpkan,t͡ɕiːp˧˩kan
ລະເມີດ,laməːt,la˧məːt˥˨
ປຸກ,puk,puk˧˥
ຫວະ,wa,wa˧˥
ຫາກໍ,haːkɔː,haː˩˧kɔː
ປະພັນ,papʰan,pa˧˥pʰan˧˥
ຮຸດ,hut,hut˧
ບາກ,baːk,baːk˧˩
ນ້ຳນົມ,namnom,nam˥˨nom˧˥
ສຳນຽງ,samniaːŋ,sam˩˧niaːŋ˧˥
ສາຣະຄະດີ,saːrakʰadiː,saː˩˧ra˧kʰa˧diː
ກະເປົາ,kapao,ka˧˥pao˧˥
ສີມື,siːmɯː,siː˩˧mɯː˧˥
ແຫ່,hɛː,hɛː˧
ເລນ,leːn,leːn˧˥
ອ້ວນ,uaːn,uaːn˥˨
ວິຖີ,witʰiː,wi˧tʰiː˩˧
ຮີບ,hiːp,hiːp˥˨
ຫ້າງ,haːŋ,haːŋ˧˩
ດົມ,dom,dom
ລວງ,luaːŋ,luaːŋ˧˥
ເປັນໂຣກ,penroːk,penroːk˥˨
ຝາ,faː,faː˩˧
ຣິດ,rit,rit˧
ເກນ,keːn,keːn
ວັຍ,wiaːŋ,wiaːŋ˧
ມີກຽດ,miːkiaːt,miːkiaːt˧˥
ອິນຊີ,insiː,insiː˧˥
ທົດ,tʰot,tʰot˧
ການຢູ່,kaːnjuː,kaːnjuː˧
ຕັກ,tak,tak˧˥
ທີບ,tʰiːp,tʰiːp˥˨
ພູພຽງ,pʰuːpʰiaːŋ,pʰuː˧˥pʰiaːŋ˧˥
ເປັນຫົວ,penhuaː,penhuaː˩˧
ການໄຟຟ້າ,kaːnfajfaː,kaːnfaj˧˥faː˥˨
ສັດທາ,sattʰaː,sat˧˥tʰaː˧˥
ໂດຽ,doːj,doːj
ແລ,lɛː,lɛː˧˥
ຫລີກ,liːk,liːk˧˩
ຫນ້າຮັກ,naːhak,naː˧˩hak˧
ຍັກ,ɲak,ɲak˧
ການຕັດສິນ,kaːntatsin,kaːntat˧˥sin˩˧
ນາດ,naːt,naːt˥˨
ເຫມາະ,mɔ,mɔ˧˥
ຕົກກ້າ,tokkaː,tok˧˥kaː˥˨
ຊີ້ແຈງ,siːt͡ɕɛːŋ,siː˥˨t͡ɕɛːŋ
ອັກ,ak,ak˧˥
ຫມັ້ນ,man,man˧˩
ລະນຶກ,lanɯk,la˧nɯk˧
ກ້າມ,kaːm,kaːm˥˨
ອັງຄານ,aŋkʰaːn,aŋkʰaːn˧˥
ກົກ,kok,kok˧˥
ການປະມົງ,kaːnpamoŋ,kaːnpa˧˥moŋ˧˥
ໂຄສົກ,kʰoːsok,kʰoː˧˥sok˧˥
ອຸດອນ,udɔːn,u˧˥dɔːn
ປັ້ນ,pan,pan˥˨
ແຫລະ,lɛ,lɛ˧˥
ແຜ່ນດິນໄຫວ,pʰɛːndinwaj,pʰɛːn˧dinwaj˩˧
ຄຳແນະນຳ,kʰamnɛnam,kʰam˧˥nɛ˧nam˧˥
ຫ່າງ,haːŋ,haːŋ˧
ຕົກໃຈ,tokt͡ɕaj,tok˧˥t͡ɕaj
ບັ້ນ,ban,ban˥˨
ສາມະ,saːma,saː˩˧ma˧
ຕາມລຳດັບ,taːmlamdap,taːmlam˧˥dap˧˥
ດຸນ,dun,dun
ຄົນໂສດ,kʰonsoːt,kʰon˧˥soːt˧˩
ເຂົ້າຫາ,kʰaohaː,kʰao˧˩haː˩˧
ຈິ,t͡ɕi,t͡ɕi˧˥
ວຸ້ນ,wun,wun˥˨
ຢູ່ໃກ້,juːkaj,juː˧kaj˥˨
ລາກ,laːk,laːk˥˨
ຫົວນົມ,huaːnom,huaː˩˧nom˧˥
ເຄື່ອງຫລິ້ນ,kʰɯːə̯ŋlin,kʰɯːə̯ŋ˧lin˧˩
ບຸສ,buaːŋ,buaːŋ˥˨
ຈົ່ມ,t͡ɕom,t͡ɕom˧
ເຈິ,t͡ɕə,t͡ɕə˧˥
ທຽນ,tʰiaːn,tʰiaːn˧˥
ຂັດ,kʰat,kʰat˧˥
ມາລາ,maːlaː,maː˧˥laː˧˥
ເຖົ້າ,tʰao,tʰao˧˩
ໄພທູນ,pʰajtʰuːn,pʰaj˧˥tʰuːn˧˥
ພາຣາ,pʰaːraː,pʰaː˧˥raː˧˥
ປຶກ,pik,pik˧˥
ສຶກ,sik,sik˧˥
ກໍຣະນີ,kɔːraniː,kɔːra˧niː˧˥
ຫຸ້ມ,hum,hum˧˩
ກະທຳ,katʰam,ka˧˥tʰam˧˥
ປະເດັນ,paden,pa˧˥den
ສໍ້,sɔː,sɔː˧˩
ເຈຣະຈາ,t͡ɕeːrat͡ɕaː,t͡ɕeːra˧t͡ɕaː
ແລວ,lɛːw,lɛːw˧˥
ຫຸ້ນ,hun,hun˧˩
ນັບວ່າ,napwaː,nap˧waː˧
ວິຈິດ,wit͡ɕit,wi˧t͡ɕit˧˥
ແຂນ,kʰɛːn,kʰɛːn˩˧
ຊື່ໆ,sɯːsɯː,sɯː˧sɯː˧
ເຂົ້າພັນສາ,kʰaopʰansaː,kʰao˧˩pʰan˧˥saː˩˧
ສູບ,suːp,suːp˧˩
ປະສົມປະສານ,pasompasaːn,pa˧˥som˩˧pa˧˥saːn˩˧
ປານີ,paːniː,paːniː˧˥
ວໍ,wɔː,wɔː˧˥
ແບ້,bɛː,bɛː˥˨
ການຜ່າຕັດ,kaːnpʰaːtat,kaːnpʰaː˧tat˧˥
ເອົາແຕ່,aotɛː,aotɛː˧
ພະສົງ,pʰasoŋ,pʰa˧soŋ˩˧
ໂຊກ,soːk,soːk˥˨
ກຳແພງ,kampʰɛːŋ,kampʰɛːŋ˧˥
ຢຽບ,jiaːp,jiaːp˧˩
ເປີເຊັນ,pəːsen,pəːsen˧˥
ຢາມ,jaːm,jaːm
ມີຄູ່,miːkʰuː,miː˧˥kʰuː˧
ເຕົາ,tao,tao
ໄດ້ຟັງ,dajfaŋ,daj˥˨faŋ˧˥
ງົດງາມ,ŋotŋaːm,ŋot˧ŋaːm˧˥
ເຮືອງ,hɯːə̯ŋ,hɯːə̯ŋ˧˥
ຫຶ,hɯ,hɯ˧˥
ສະມາທິ,samaːtʰi,sa˧˥maː˧˥tʰi˧
ລະແອນ,laɛːn,la˧ɛːn
ປຸງ,puŋ,puŋ
ຮຸ່ງ,huŋ,huŋ˧
ໂຍດ,ɲot,ɲot˥˨
ເຄື່ອງບິນ,kʰɯːə̯ŋbin,kʰɯːə̯ŋ˧bin
ອັນດຽວ,andiaːw,andiaːw
ຖອນ,tʰɔːn,tʰɔːn˩˧
ປະພຶດ,papʰɯt,pa˧˥pʰɯt˧
ອົງຄະ,oŋkʰa,oŋkʰa˧
ສ່ອງ,sɔːŋ,sɔːŋ˧
ຫົກ,hok,hok˧˥
ມ້າ,maː,maː˥˨
ມອງ,mɔːŋ,mɔːŋ˧˥
ນິຍາມ,niɲaːm,ni˧ɲaːm˧˥
ທ່າມກາງ,tʰamkaːŋ,tʰam˧kaːŋ
ບໍ່ເອົາ,bɔːao,bɔː˧ao
ມີຄຳວ່າ,miːkʰamwaː,miː˧˥kʰam˧˥waː˧
ຕາງ,taːŋ,taːŋ
ເປັດ,pet,pet˧˥
ກະສິກັມ,kasikam,ka˧˥si˧˥kam
ບາສ,buaːŋ,buaːŋ˥˨
ບັງເອີນ,baŋəːn,baŋəːn
ກຸ້ງ,kuŋ,kuŋ˥˨
ໂມນ,moːn,moːn˧˥
ຂວບ,kʰuaːp,kʰuaːp˧˩
ທຸງ,tʰuŋ,tʰuŋ˧˥
ຈອມ,t͡ɕɔːm,t͡ɕɔːm
ພະນັກ,pʰanak,pʰa˧nak˧
ບໍດີ,bɔːdiː,bɔːdiː
ສູ,suː,suː˩˧
ກະຊັງ,kasaŋ,ka˧˥saŋ˧˥
ເສືອ,sɯːə̯,sɯːə̯˩˧
ເຂົ້າເມືອງ,kʰaomɯːə̯ŋ,kʰao˧˩mɯːə̯ŋ˧˥
ຖ່ານ,tʰaːn,tʰaːn˧
ອະນຸບານ,anubaːn,a˧˥nu˧baːn
ການປະຊຸມ,kaːnpasum,kaːnpa˧˥sum˧˥
ຊັງຕີ,saŋtiː,saŋ˧˥tiː
ຂ້ຽວ,kʰiaːw,kʰiaːw˧˩
ເມືອ,mɯːə̯,mɯːə̯˧˥
ອິນດູ,induː,induː
ຕະກູນ,takuːn,ta˧˥kuːn
ເປັນເຫດ,penheːt,penheːt˧˩
ປະວັດ,pawat,pa˧˥wat˧
ຕູ່,tuː,tuː˧
ຊ້ອມ,sɔːm,sɔːm˥˨
ຊັກຊ້າ,saksaː,sak˧saː˥˨
ເມດຕາ,meːttaː,meːt˥˨taː
ສະການ,sakaːn,sa˧˥kaːn
ອາເມຣິກາ,aːmeːrikaː,aːmeː˧˥ri˧kaː
ຫມູນ,muːn,muːn˩˧
ມະຫາກະສັດ,mahaːkasat,ma˧haː˩˧ka˧˥sat˧˥
ຊາກ,saːk,saːk˥˨
ແລງ,lɛːŋ,lɛːŋ˧˥
ວິສ,wiaːŋ,wiaːŋ˧
ຄວາມຊົງຈຳ,kʰwaːmsoŋt͡ɕam,kʰwaːm˧˥soŋ˧˥t͡ɕam
ອິງ,iŋ,iŋ
ຊອງ,sɔːŋ,sɔːŋ˧˥
ມີຄື,miːkʰɯː,miː˧˥kʰɯː˧˥
ຜູ້ອ່ານ,pʰuːaːn,pʰuː˧˩aːn˧
ຖູ,tʰuː,tʰuː˩˧
ອັງ,aŋ,aŋ
ແວດ,wɛːt,wɛːt˥˨
ຟາ,faː,faː˧˥
ຊຶມ,sim,sim˧˥
ແບກ,bɛːk,bɛːk˧˩
ລອນດອນ,lɔːndɔːn,lɔːn˧˥dɔːn
ໄປສົ່ງ,pajsoŋ,pajsoŋ˧
ບິດາ,bidaː,bi˧˥daː
ພະຍາກອນ,pʰaɲaːkɔːn,pʰa˧ɲaː˧˥kɔːn
ການລ້ຽງ,kaːnliaːŋ,kaːnliaːŋ˥˨
ເຊີງ,səːŋ,səːŋ˧˥
ລັຍ,letsatop,let˧sa˧˥top˧˥
ນິທານ,nitʰaːn,ni˧tʰaːn˧˥
ກະເສດ,kaseːt,ka˧˥seːt˧˩
ອໍ,ɔː,ɔː
ບໍຣິເວນ,bɔːriweːn,bɔːri˧weːn˧˥
ເຫື່ອແຮງ,hɯːə̯hɛːŋ,hɯːə̯˧hɛːŋ˧˥
ບ່າ,baː,baː˧
ວິທຍາ,wiaːtnaːm,wiaːt˥˨naːm˧˥
ເດັນ,den,den
ຄາວ,kʰaːo,kʰaːo˧˥
ວາປີ,waːpiː,waː˧˥piː
ເບາະ,bɔ,bɔ˧˥
ກັ້ນ,kan,kan˥˨
ຫລົງ,loŋ,loŋ˩˧
ກວາ,kwaː,kwaː
ກິຈ,kuaːŋ,kuaːŋ˥˨
ແງ່,ŋɛː,ŋɛː˧
ຊິບ,sip,sip˧
ໂສມ,soːm,soːm˩˧
ທ່ວງທັນ,tʰuaːŋtʰanː,tʰuaːŋ˧tʰanː˧˥
ປົ່ງ,poŋ,poŋ˧
ຢູ່ຫັ້ນ,juːhan,juː˧han˧˩
ຮົງ,hoŋ,hoŋ˧˥
ຮ້າງ,haːŋ,haːŋ˥˨
ງູ,ŋuː,ŋuː˧˥
ແລ້ງ,lɛːŋ,lɛːŋ˥˨
ຂັງ,kʰaŋ,kʰaŋ˩˧
ທະບວງ,tʰabuaːŋ,tʰa˧buaːŋ
ຖົ່ວ,tʰuaː,tʰuaː˧
ພິງ,pʰiŋ,pʰiŋ˧˥
ປິ່ນ,pin,pin˧
ນຸ່ງ,nuŋ,nuŋ˧
ທາງສັງຄົມ,tʰaːŋsaŋkʰom,tʰaːŋ˧˥saŋ˩˧kʰom˧˥
ຜ່າ,pʰaː,pʰaː˧
ປະດິດ,padit,pa˧˥dit˧˥
ຝັງ,faŋ,faŋ˩˧
ແສງອາທິດ,sɛːŋaːtʰit,sɛːŋ˩˧aːtʰit˧
ຝຣັ່ງເສດ,fraŋseːt,fraŋ˧seːt˧˩
ມຸກດາຫານ,mukdaːhaːn,muk˧daːhaːn˩˧
ປັຈ,puaːŋpaj,puaːŋ˧paj
ຂຸ້ນຂ້ຽວ,kʰunkʰiaːw,kʰun˧˩kʰiaːw˧˩
ເຈນ,t͡ɕeːn,t͡ɕeːn
ຮານ,haːn,haːn˧˥
ທະວີ,tʰawiː,tʰa˧wiː˧˥
ບໍ່ເຊົາ,bɔːsao,bɔː˧sao˧˥
ພົມມະຈັນ,pʰommat͡ɕan,pʰom˧˥ma˧t͡ɕan
ໂງ່,ŋoː,ŋoː˧
ຜ່ອນ,pʰɔːn,pʰɔːn˧
ແຊງ,sɛːŋ,sɛːŋ˧˥
ບອນ,bɔːn,bɔːn
ຕ້ອນ,tɔːn,tɔːn˥˨
ກຸດ,kut,kut˧˥
ເຄື່ອງຂອງ,kʰɯːə̯ŋkʰɔːŋ,kʰɯːə̯ŋ˧kʰɔːŋ˩˧
ຫລ່ຽມ,liaːm,liaːm˧
ວິໄສ,wisaj,wi˧saj˩˧
ບົງ,boŋ,boŋ
ບ້ວງ,buaːŋ,buaːŋ˥˨
ຍາດເອົາ,ɲaːtao,ɲaːt˥˨ao
ສຽວ,siaːw,siaːw˩˧
ໃຍ,ɲaj,ɲaj˧˥
ຫນ້ານ້ຳ,naːnam,naː˧˩nam˥˨
ຄວາມດີ,kʰwaːmdiː,kʰwaːm˧˥diː
ເຈັດ,t͡ɕet,t͡ɕet˧˥
ເມັຽ,miaː,miaː˧˥
ຟູ,fuː,fuː˧˥
ກຸມ,kum,kum
ຕົວແມ່,tuaːmɛː,tuaːmɛː˧
ອະພິ,apʰi,a˧˥pʰi˧
ການນັ່ງ,kaːnnaŋ,kaːnnaŋ˧
ວອດ,wɔːt,wɔːt˥˨
